orig,kr
Lv** 帝国エリート弓兵,Lv** 제국 엘리트 궁병
Lv** 帝国エリート剣兵,Lv** 제국 엘리트 검사
Lv** 帝国魔術兵,Lv** 제국 마술사
Lv** インペリアルランサー,Lv** 임페리얼 랜서
Lv** インペリアルアーチャー,Lv** 임페리얼 아처

Lv** インペリアルソード,Lv** 임페리얼 소드
Lv** ビット,Lv** 비트
Lv** ドローン,Lv** 드론
Lv** オートノミー・アドウェルサ,Lv** 오토노미・애드벌사

Lv** 胎動する世界,Lv** 태동하는 세계
シンギュラリティ,싱귤래리티
エンド・オブ・ジェネシス,엔드 오브 제네시스
ワイド・ディシジョン,와이드 디시젼
Lv** ポンメルン,Lv** 폼메른
Lv** フュリアス,Lv** 퓨리어스
過剰魔力暴走,과잉마력폭주
Lv** ガンダルヴァ,Lv** 간다르바
フルスロットル,풀 스로틀
アサルトランナー,어설트 러너

Lv** ウルフセイバー,Lv** 울프 세이버
Lv** ヘルハウンド,Lv** 헬하운드
Lv** アリゲイディス,Lv** 앨리게이디스
Lv** フレイムタイラント,Lv** 플레임 타이런트
Lv** ミノタウロス,Lv** 미노타우로스
Lv?? ミノタウロス,Lv?? 미노타우로스
Lv** ガスト,Lv** 가스트
Lv** ガスト・ヒュー,Lv** 가스트 휴
Lv** 六眼蝶,Lv** 여섯 눈 나비
Lv** オーガヤンマ,Lv** 오거 잠자리
Lv** ボーンネイル,Lv** 본 네일
Lv** グレイブディガー,Lv** 그레이브디거
Lv** 操られた帝国兵,Lv** 조종당하는 제국병
Lv** 鬼将怒涛のジェレミア,Lv** 귀장노도 제레미아


Lv** ラウンドウルフ,Lv** 라운드 울프
Lv?? ラウンドウルフ,Lv?? 라운드 울프
Lv** ワイルドウルフ,Lv** 와일드 울프
スラッシャー,슬래셔
Lv?? スラッシャー,Lv?? 슬래셔
Lv** スラッシャー,Lv** 슬래셔
Lv** ロッド,Lv** 로드
Lv** 試作型二八式歩行戦車,Lv** 시작형 이팔식 보행전차
Lv** SG-** ゴンザレス,Lv** SG-** 곤잘레스

Lv** フェンリル,Lv** 펜리르
フロストラウド,프로스트 라우드


フレイムドレイク,플레임 드레이크
Lv** フレイムドレイク,Lv** 플레임 드레이크
ラフレシア,라플레시아
Lv** ラフレシア,Lv** 라플레시아
ヒッポラーヴァ,히포 라바
Lv** ヒッポラーヴァ,Lv** 히포 라바
バルバル,바르발
Lv** バルバル,Lv** 바르발
ビッグフット,빅풋
Lv** ビッグフット,Lv** 빅풋





!고전장 몬스터
Lv** アウズンブラ,Lv** 아우둠블라
アウズンブラ,아우둠블라






Lv** リアクター,Lv** 리액터
邀撃装置,요격장치

Lv** アーカーシャ,Lv** 아카샤
メギド,메기도
属性振幅,속성 진폭
エンシェント・フレア,에인션트 플레어
崩天,붕천
長キ眠リハ…<br>我ニ何ヲ齎シタ…,길었던 잠은…<br>나에게 무엇을 주었는가…

Lv?? 黒騎士,Lv?? 흑기사
ブラックウォール,블랙 월
黒鳳刃・月影,흑봉검・월영
ドレイン,드레인

Lv** 緋色の騎士バラゴナ,Lv** 비색의 기사 바라고나
失連刃・朱花,실연검・주화
護水陣,호수진

Lv** キクリ,Lv** 키쿠리
因果結縛,인과결박
因果切解,인과절해
絶縁,절연

Lv** 量産型ゴーレム,Lv** 양산형 골렘
Lv** 老婆だったもの,Lv** 노인이었던 존재

!은혼 콜라보 몬스터
Lv** ネオアーム（ry,Lv** 네오 암（ry
開国レーザー,개국 레이저

Lv** コロ,Lv** 코로
Lv*** コロ,Lv*** 코로


!도라에몽 콜라보 몬스터
Lv** 巨大カリオストロ,Lv** 거대 칼리오스트로









!아카룸 관련
Lv** 光耀のボルカノン,Lv** 광요의 볼케이논
Lv** カースドトレント,Lv** 커스드 트렌트
Lv** オールドハウンド,Lv** 올드 하운드
Lv** コルニス,Lv** 코르니스




!사상
Lv*** 黒麒麟,Lv*** 흑기린



!별의 짐승의 레저넌스 이벤트

Lv?? ザオシェン,Lv?? 자오셴
Lv?? フレイ,Lv?? 프레이
Lv?? ジオ,Lv?? 지오
Lv** ジオ,Lv** 지오
オポッジション,오포지션
アーマゲドン,아마게돈
ブレス,브레스
ストラトスフィアー,스트라토스 피어

Lv** シアエガ,Lv** 크아이가
Lv** オールド・マローダー,Lv** 올드 머로더















Lv** イウィヤ,Lv** 이위야
