orig,kr
生い茂る森の入口。煙る花の香は旅人を奥へ奥へと誘う。,우거진 숲의 입구. 진한 꽃향기는 여행자를 숲속으로 유혹한다.
美味しい匂い,맛있는 냄새
ルーマシーの果物,루마시의 과일
人助けに注意,남을 도울 때는 주의하자
剣吞なお香,위험한 향기
世界一カワイイ勉強会,세계 제일 귀여운 연구회

森の深部に現れる空地。星の民の生活の跡が微かに残る。,숲의 심부에 나타난 공터. 별의 민족의 생활 흔적이 어렴풋이 남아있다.
であえであえ、ゴザエモン！,"덤벼라, 고자에몬！"
エンシェントドラゴン討伐戦,에인션트 드래곤 토벌전
よろず屋の危機,만물상의 위기
怪しい届け物,수상한 선물
危険なキノコ狩り,위험한 버섯 채취

黒の森に輝く湖の水辺。憩いの場には疲れた旅人達が集う。,검은 숲에 반짝이는 호수의 물가. 쉼터에는 지친 여행자가 모인다.
桃色キノコ,분홍색 버섯
ごちそうを獲りに行こう！,식사를 합시다！
材木探し,목재를 찾아서
終わらない女ドラフ部屋,끝나지 않는 여성 드라프의 방

人を拒み続けた遺跡。奉られた神は星の民の真実へと繋がる。,사람을 거부하는 유적. 잠든 신은 별의 민족의 진실로 이어진다.
置き去りにされたもの,버려진 물건
遥かなる古を偲ぶ,옛날이 그립다
トラップ注意報,함정주의보

星が驕りを奉りし神殿。最奥には忌避すべき傲慢が眠る。,우거진 녹색에 강철의 적의가 깃든 섬. 우거진 숲을 군화 소리가 지배한다.
涙を流したスーテラ姉様,눈물을 흘린 스테라 언니

豊かな緑に鋼の敵意が潜む島。深き森を軍靴の音が支配する。
