orig,kr
生涯不敗を誇る剣士がいた。彼の技は左右の腕から変幻自在に刃を繰り出すものだった。

ミスリルダガー,미스릴 대거
鉄をも弾く魔物の装甲をいとも容易く貫いてしまった。あの金属の精錬法さえわかれば…

ミスリルクリス,미스릴 크리스
波うつ刃は美しく、鑑賞用にも人気が高い。威力も高く、複雑な形状の刃で切られた傷口は治癒に時間を要する。

ウォーターククリ,워터 쿠크리
水底に棲む魔物の鋭利な鱗を加工した刃は、水精の加護を受け、血糊に汚れることなく敵を屠る。

リーフダガー,리프 대거
豊穣の大地の加護を受けし緑の刃は、命に仇成す不浄の存在に対して真の力を発揮する。




メイルブレイカー,메일 브레이커
突き刺すことを主眼に作られた円錐状の剣身。相手につけた傷穴は、決して塞がらず壊死を引き起こす。

ホーリークリス,홀리 크리스
聖なる輝きを与えられた短剣は、目に見えぬものとの戦いにこそ、その真の力を発揮する。

エメラルドダガー,에메랄드 대거
貴重な鉱石を使い生成した短剣は非常に頑丈だ。鉄すらもいとも簡単に貫くことができる。

ダークナイフ,다크 나이프
滑らかな刃は時として使用者の心を映す。そこに見るものは皆一様に恐ろしい形相の魔物であるという。

ファイアバゼラード,파이어 배즐러드
鍛造される過程で炎の魔法を施された一品。焼き貫かれた傷口は長い年月を経ても癒えることはない。

木彫りの短剣
ユディスティラ島の海岸に落ちていた流木からウェルダーが削り出したもの。いちばん出来がいい物は、ジェイドへの土産にするらしい。

ブラッディピアース
ターニャの所有する、父の形見であるナイフ。シンプルなものだが、丁寧に磨きあげられた刃は優れた切れ味を持つ。

ギミックダガー
折り畳んで携行可能なナイフ。修練を積めば素早く開閉できるようになり、即座に攻撃を行える。果物の皮むきから戦闘のお供と高い汎用性が魅力的。




割れた酒瓶
燃ゆる酒精は喉を焼き、胸底に沈んだ澱を浄化する。それでもなお焼き切れなかったやさぐれは、やがて怒声とともに吐き出され、野暮な刃を作り出す。

リトルスカーレット
機能性よりも美しさを求め、作られた紅の短剣。護身用の武器であり、刀剣としての価値は低いものの、装飾品としての価値は非常に高く、所持者の富と財力を証明する品となっている。

スピンブレード
スピンブレード！　それは、止めない限り、ずっと回転し続ける！
アラウンドザワールド

エンジェルナイフ
聖なる力が宿る短剣。その輝きは時を経ても潰えることなく、数多の武器へと受け継がれ、新たな力となる。

ミスリルハルベルト
無垢なる輝きを放つ頂の金属は、万能の刃を形作る。この不朽の槍斧は万軍の兵に勝る。

ハルベルト
争いの歴史はより効率の良い武器を生む。その到達点の一つとして、この槍は長らく戦場の頂に君臨していた。

メザラク
この槍で敵を薙ぐということは少ない。何故なら一突きで大方の獲物は沈黙してしまうからだ。

ファイアグレイブ
火焔が唸りを上げて魔獣に襲い掛かる。闇を赤く照らす炎槍は邪悪な敵を討ち滅ぼした。

フレイムハルベルト
焔をまといしその槍撃を、一たび浴びればたちまち炎に包まれる。二たび浴びれば、悉く灰塵と化す。

クーゼ
巨大な刃が特徴的で、儀礼用にも使われる。決して軽くはないが、使いこなせばその威力は圧巻だ。

ミスリルグレイブ
神秘的な燐光を放つ刀槍は、振るえば風のように軽く、水をくぐるように敵を切り裂く。

ミスリルスピア
静謐な煌めきを誇る神授の刃は、いかなる甲冑も突き穿ち、朽ちることなく輝き続ける。

ミスリルパルチザン
幾多の戦場で血に染まっても、蒼銀の長槍は決して色褪せない。

ランデベヴェ
長い刀身は立ちはだかる数多の障害を薙ぎ払う。その刃の軌跡は真円を描き、立ち入る者を容赦なく斬り捨てる。

風精の鉤爪槍
疾風の如く繰り返し突き出される槍は、魔物の巨躯に数えきれぬほどの傷を作り出した。

アースハルベルト
数多の戦場にあってなお、その刃が歪むことはない。いわく、加護を受けし武具は大地と同じく不滅であるという。

アクアンキラー
貫くことに特化させた槍。二又に分かれた矛先で貫けば、その体に二つの刺し傷を作る。

シャドウスピア
闇色の刃を持つ槍。この槍が使用者を闇に染めるのか、内より溢れる闇がこの槍を握らせるのか、それは誰にもわからない。

ナイトホーン
漆黒の槍は担い手に滾る昏き思いをも深き闇に溶かす。ゆえにその一撃に感情は無く、ただ静かに獲物を喰らう。

ギリーフォーク
特別な装飾の施されたその槍は幾つかの戦場において絶大な効力を発揮する。虚をつく一撃は一挙に軍を瓦解させる。

シルバーポール
日常での使いやすさと生産性を重視して作られた槍。その用途は多岐に渡り、中でもその材質から水中での狩猟採集などで重宝されている。

エンジェルスピア
聖なる力が宿る槍。その輝きは時を経ても潰えることなく、数多の武器へと受け継がれ、新たな力となる。

タバール
三日月形なのはなぜかって？これなら曲面の装甲にも常に最高の一撃が与えられるのさ。
