Type,Name,Origin,Korean
text_jp,#REF!,いや。俺には、頼れる<br>ウォッチドッグがついている。<br>小うるさい仔犬ではあるがな。,아니. 나에게는 의지할 수 있는<br>워치독이 달려 있어.<br>작은 강아지이긴 하지만.
text_en,#REF!,"Well, I shouldn't ignore the reliable watchdog following me around, yappy pupper she may be.",아니. 나에게는 의지할 수 있는<br>워치독이 달려 있어.<br>작은 강아지이긴 하지만.
text_jp,#REF!,ウォッチドッグって……番犬！？<br>あたしの事、目覚まし時計と<br>思わないでよ！？,워치독이라니... 번견!?<br>나를 자명종이라고<br>생각하지마!?
text_en,#REF!,Hey! I'm not your personal assistant! Got it?,워치독이라니... 번견!?<br>나를 자명종이라고<br>생각하지마!?
text_jp,#REF!,ぐうっ！？　やばいな……<br>こんなのもう一発くらったら<br>ひとたまりもないぞ？,으윽!? 위험하네...<br>이런거를 한 대 더 맞으면<br>잠시도 버티지 못할거라고?
text_en,#REF!,"Oof! Take another hit like that, and we're toast!",으윽!? 위험하네...<br>이런거를 한 대 더 맞으면<br>잠시도 버티지 못할거라고?
text_jp,#REF!,その前に、あたしとバザラガで<br>止めるわよ。<br>そのための封印武器なんだから！,그전에 나랑 바자라가가<br>멈출거야.<br>그걸 위한 봉인무기니까!
text_en,#REF!,Vaseraga and I will stop her before that happens! That's why we've got seal weapons!,그전에 나랑 바자라가가<br>멈출거야.<br>그걸 위한 봉인무기니까!
text_jp,#REF!,おい、大丈夫かあ！？<br>危なくなったらお前のアビリティで<br>回復した方がいいぜ？,"어이, 괜찮아!?<br>위험해지면 너의 어빌리티로<br>회복하는 것이 좋겠다구?"
text_en,#REF!,Yikes! Everyone okay? Maybe you should heal up before it's too late!,"어이, 괜찮아!?<br>위험해지면 너의 어빌리티로<br>회복하는 것이 좋겠다구?"
text_jp,#REF!,くっそ……！　また来るぞ！<br>ゼタ、バザラガ！<br>気をつけろよ！,"젠장......! 또 온다! <br> 제타, 바자라가! <br> 조심해!"
text_en,#REF!,"Damn, here comes another attack! Zeta! Vaseraga! Watch yourselves!","젠장......! 또 온다! <br> 제타, 바자라가! <br> 조심해!"
text_jp,#REF!,ああ。<br>あと少しで力を解放できる。<br>それまでの間、持ちこたえてくれ。,그래.<br>이제 조금만 있으면 힘을 해방시킬 수 있다.<br>그때까지만 버텨줘.
text_en,#REF!,Got it. Just hold out a little longer until I can release my power.,그래.<br>이제 조금만 있으면 힘을 해방시킬 수 있다.<br>그때까지만 버텨줘.
text_jp,#REF!,ふん……！<br>こんな所でやられるか！<br>私は……私達は不滅だ！,흥...!<br>이런 곳에서 당할 수 없지!<br> 나는... 우리는 불멸이다!
text_en,#REF!,Heh! I'm not going down in a place like this! Because I! Am! Invincible!,흥...!<br>이런 곳에서 당할 수 없지!<br> 나는... 우리는 불멸이다!
text_jp,#REF!,動きは封じた。<br>ゼタ、バザラガ。行け。,"움직임은 막았다.<br>제타, 바자라가. 가라."
text_en,#REF!,"Her movements are sealed. Zeta, Vaseraga. Move in.","움직임은 막았다.<br>제타, 바자라가. 가라."
text_jp,#REF!,あ……危ないだろユーステス！<br>私達を巻き込む気か！<br>何かするなら先に言ってくれよ！,윽......위험하잖아 유스테스!<br>우리들을 말려들게 할 생각이야!<br>뭔가 한다면 먼저 말해달라고!
text_en,#REF!,"Were you trying to hit us, Eustace! Give us a warning at least!",윽......위험하잖아 유스테스!<br>우리들을 말려들게 할 생각이야!<br>뭔가 한다면 먼저 말해달라고!
text_jp,#REF!,だが、おかげで準備は整った。<br>いけるな、ゼタ。,"하지만, 덕분에 준비는 갖추어졌다.<br>자 가자, 제타."
text_en,#REF!,"But thanks to him, I'm ready to go. I'm guessing you are too, Zeta.","하지만, 덕분에 준비는 갖추어졌다.<br>자 가자, 제타."
text_jp,#REF!,うん。いつもの呼吸で。<br>あたし達が終わらせてあげる。<br>……他に手があればよかったね。,응. 언제나와 같은 호흡으로.<br> 우리가 끝내줄게.<br>…다른 방법이 있으면 좋았을걸.
text_en,#REF!,"Yeah, as long as I'm breathing. There's no other way, so... let's finish this.",응. 언제나와 같은 호흡으로.<br> 우리가 끝내줄게.<br>…다른 방법이 있으면 좋았을걸.
text_jp,#REF!,アルベス、応えなさい！,"알베스, 응답해줘!"
text_en,#REF!,Arvess! Hear my call!,"알베스, 응답해줘!"
