orig,kr
俺の勇姿を伝えなければ！,용감한 내 모습을 보여주겠어！

おとといおいで！,다음에 또와요！
獲得条件：荒ぶる大灯籠を累計で***個入手,획득조건：거칠게 흔들리는 대등롱을 누계 ***개<br>획득

獲得条件：揺らめく灯籠を累計で***個入手,획득조건：흔들리는 등롱을 누계 ***개 획득
獲得条件<br>揺らめく灯籠を累計で***個入手,획득조건<br>흔들리는 등롱을 누계 ***개 획득
獲得条件<br>荒ぶる大灯籠を累計で***個入手,획득조건<br>거칠게 흔들리는 대등롱을 누계 ***개 획득
獲得条件<br>「降焔祭」ストーリーを*話までクリア,획득조건<br>「강염제」 스토리 *화를 클리어

召喚：降焔,소환：강염
加護：フェニックスの加護,가호：피닉스의 가호


「臆病勇者と囚われの姫君」へ,「겁쟁이 용사와 사로잡힌 공주」로
灼熱の島、砂塵が覆う鋼の国・バルツ公国──護衛でもあり、幼なじみでもあるスタンの目の前で、クライス家の令嬢・アリーザが突如現れた星晶獣に連れ去られてしまい──,"작열하는 섬, 모래 먼지가 뒤덮는 강철의 나라 발츠 공국… 호위이자 소꿉친구인 스탄의 눈앞에서, 크라이스 가의 영애인 아리자가 갑자기 나타난 성정수에게 납치된다……"
サイドストーリー「臆病勇者と囚われの姫君」で<br>手に入ります,사이드 스토리 「겁쟁이 용사와 사로잡힌 공주」에서<br>획득할 수 있습니다

一子相伝,일자상전
獲得条件：降呼の楔を累計で***個入手,획득조건：강호의 쐐기를 누계 ***개 획득

違ぇし、別に好きじゃねぇし,좋아하는거 아니거든
獲得条件：降引の像を累計で***個入手,획득조건：강인의 형상을 누계 ***개 획득

臆病勇者,겁쟁이 용사
獲得条件：「臆病勇者と囚われの姫君」貢献度******達成,획득조건：「겁쟁이 용사와 사로잡힌 공주」 공헌도 ****** 달성

待ちくたびれたお嬢様,기다림에 지친 아가씨
獲得条件：「臆病勇者と囚われの姫君」ストーリーを*話までクリア,획득조건：「겁쟁이 용사와 사로잡힌 공주」 스토리 *화를 클리어

武者修行の旅へ,수행을 위한 여행
獲得条件<br>降呼の楔を累計で***個入手,회득조건<br>강호의 쐐기를 누계 ***개 획득
獲得条件<br>「臆病勇者と囚われの姫君」ストーリーを*話までクリア,획득조건<br>「겁쟁이 용사와 사로잡힌 공주」 스토리 *화를 클리어
獲得条件<br>降引の像を累計で***個入手,획득조건<br>강인의 형상을 누계 ***개 획득
不屈の勇者,불굴의 용사
棺開け職人,관을 여는 장인
獲得条件<br>「臆病勇者と囚われの姫君」貢献度******達成,획득조건<br>「겁쟁이 용사와 사로잡힌 공주」 공헌도 ****** 달성
獲得条件<br>「臆病勇者と囚われの姫君」貢献度*******達成,획득조건<br>「겁쟁이 용사와 사로잡힌 공주」 공헌도 ******* 달성
ネフティス,네프티스
召喚：ソウルレクイエム,소환：소울 레퀴엠
敵全体に風属性ダメージ(特大)/味方全体のトリプルアタック確率UP(小),적 전체에게 풍속성 데미지(특대) / 아군 전체의 트리플 어택 확률 UP(소)
加護：ネフティスの加護,가호：네프티스의 가호


「蒼海を征く暗黒巨大魚」へ,「창해를 정복한 암흑거대어」로
旅の途中、リゾート地であるユディスティラ島に立ち寄った一行。しかし、そこで待ち受けていたのは、暴れまわる巨大な魚影とそれを追うひとりの漁師だった。,"여행 도중, 휴양지인 유디스티라 섬에 들른 일행. 그러나, 거기서 기다리고 있던 것은 날뛰는 거대한 물고기와 그것을 쫓는 한 어부였다."
サイドストーリー「蒼海を征く暗黒巨大魚」で手に入ります,사이드 스토리 「창해를 정복한 암흑거대어」에서 획득할 수 있습니다

おいでませユディスティラ,어서오세요 유디스티라
獲得条件：「蒼海を征く暗黒巨大魚」貢献度******達成,획득조건：「창해를 정복한 암흑거대어」 공헌도 ****** 달성

洞窟探検隊,동굴 탐험대
獲得条件：「蒼海を征く暗黒巨大魚」ストーリー*話までクリア,획득조건：「창해를 정복한 암흑거대어」 스토리 *화를 클리어
刺身にしてやろうか,회로 만들어주마
赤身,붉은살 생선
獲得条件：「蒼海を征く暗黒巨大魚」のフリークエストでアルバコアと超巨大アルバコアを合計*体討伐,획득조건：「창해를 정복한 암흑거대어」의 프리 퀘스트에서 알바코어와 초거대 알바코어를 합계 *체 토벌

鬢長,날개다랑어
獲得条件：フリークエスト「超巨大アルバコア討伐戦」をクリア,획득조건：프리 퀘스트「초거대 알바코어 토벌전」을 클리어
ユディスティラ島民,유스티리아 도민
蒼海の自警団,창해의 자경단
獲得条件<br>「蒼海を征く暗黒巨大魚」貢献度******達成,획득조건<br>「창해를 정복한 암흑거대어」 공헌도 ****** 달성
獲得条件<br>「蒼海を征く暗黒巨大魚」貢献度*******達成,획득조건<br>「창해를 정복한 암흑거대어」 공헌도 ******* 달성
獲得条件<br>「蒼海を征く暗黒巨大魚」ストーリー*話までクリア,획득조건<br>「창해를 정복한 암흑거대어」 스토리 *화를 클리어
中トロ,츄토로
大トロ,오오토로
獲得条件<br>「蒼海を征く暗黒巨大魚」のフリークエストでアルバコアと超巨大アルバコアを合計*体討伐,획득조건<br>「창해를 정복한 암흑거대어」의 프리 퀘스트에서<br>알바코어와 초거대 알바코어를 합계 *체 토벌
獲得条件<br>「蒼海を征く暗黒巨大魚」のフリークエストでアルバコアと超巨大アルバコアを合計**体討伐,획득조건<br>「창해를 정복한 암흑거대어」의 프리 퀘스트에서<br>알바코어와 초거대 알바코어를 합계 **체 토벌
獲得条件<br>「蒼海を征く暗黒巨大魚」のフリークエストでアルバコアと超巨大アルバコアを合計***体討伐,획득조건<br>「창해를 정복한 암흑거대어」의 프리 퀘스트에서<br>알바코어와 초거대 알바코어를 합계 ***체 토벌
獲得条件<br>フリークエスト「超巨大アルバコア討伐戦」をクリア,획득조건<br>프리 퀘스트 「초거대 알바코어 토벌전」을 클리어
"アルバコアブレード<div class=""ico-weapon-*""></div>","알바코어 블레이드<div class=""ico-weapon-*""></div>"
"アルバコアブレード（Lv***）<div class=""ico-weapon-*""></div>","알바코어 블레이드（Lv***）<div class=""ico-weapon-*""></div>"
アルバコアブレード（Lv***）,알바코어 블레이드（Lv***）
奥義：トゥンヌスブリッツ,오의：튜나스 블리츠
スキル：奈落の守護,스킬：나락의 수호

アルバコア,알바코어
召喚：トゥンヌスブリッツ,소환：튜나스 블리츠
敵全体に闇属性ダメージ(特大)/ダブルアタック確率DOWN,적 전체에게 암속성 데미지(특대) / 더블어택 확률 DOWN
加護：アルバコアの加護,가호：알바코어의 가호
闇属性キャラのHPと攻撃力が**%UP,암속성 캐릭터 HP와 공격력이 **% UP

「薫風、白波を蹴立てる」へ,"「훈풍, 흰 물결을 일으키다」로"
アウギュステ列島で行き倒れたジンは、カッタクリという名の老漁師に救われた。その恩を返すべく、ジンはカツウォヌスの一本釣りに挑むことになり──,"아우규스테 열도에서 쓰러진 진은, 카타쿠리라는 늙은 어부에게 구조되었다. 그 은혜를 갚기 위해, 진은 카츠오누스를 잡으려 하는데……"
サイドストーリー「薫風、白波を蹴立てる」で手に入ります,"사이드 스토리 「훈풍, 흰 물결을 일으키다」에서 획득할 수 있습니다"

稚魚,치어
獲得条件：「薫風、白波を蹴立てる」貢献度******達成,"획득조건：「훈풍, 흰 물결을 일으키다」 공헌도 ****** 달성"
幼魚,유어
成魚,성어
獲得条件<br>「薫風、白波を蹴立てる」貢献度******達成,"획득조건<br>「훈풍, 흰 물결을 일으키다」 공헌도 ****** 달성"
獲得条件<br>「薫風、白波を蹴立てる」貢献度*******達成,"획득조건<br>「훈풍, 흰 물결을 일으키다」 공헌도 ******* 달성"

出世魚,출세어
獲得条件：「薫風、白波を蹴立てる」ストーリーを*話までクリア,"획득조건：「훈풍, 흰 물결을 일으키다」 스토리 *화를 클리어"

逃がした魚は大きい,놓친 고기가 더 커 보인다
獲得条件<br>「薫風、白波を蹴立てる」ストーリーを*話までクリア,"획득조건<br>「훈풍, 흰 물결을 일으키다」 스토리 *화를 클리어"

釣り師,낚시꾼
獲得条件：チャレンジクエスト「モドリカツウォヌス活け〆作戦」をクリア,획득조건：챌린지 퀘스트 「돌아온 카츠오누스 이케시메 작전」을 클리어

あまちゃん,해녀
獲得条件：「薫風、白波を蹴立てる」のフリークエストでカツウォヌスとモドリカツウォヌスを合計*体討伐,"획득조건：「훈풍, 흰 물결을 일으키다」의 프리 퀘스트에서 카츠오누스와 돌아온 카츠오누스를 합계 *체 토벌"
獲得条件<br>チャレンジクエスト「モドリカツウォヌス活け〆作戦」をクリア,획득조건<br>챌린지 퀘스트 「돌아온 카츠오누스 이케시메 작전」을<br>클리어
いっちょまえ,밥값하는
うみんちゅ,어부
獲得条件<br>「薫風、白波を蹴立てる」のフリークエストでカツウォヌスとモドリカツウォヌスを合計*体討伐,"획득조건<br>「훈풍, 흰 물결을 일으키다」의 프리 퀘스트에서 카츠오누스와 돌아온 카츠오누스를 합계 *체 토벌"
獲得条件<br>「薫風、白波を蹴立てる」のフリークエストでカツウォヌスとモドリカツウォヌスを合計**体討伐,"획득조건<br>「훈풍, 흰 물결을 일으키다」의 프리 퀘스트에서 카츠오누스와 돌아온 카츠오누스를 합계 **체 토벌"
獲得条件<br>「薫風、白波を蹴立てる」のフリークエストでカツウォヌスとモドリカツウォヌスを合計***体討伐,"획득조건<br>「훈풍, 흰 물결을 일으키다」의 프리 퀘스트에서 카츠오누스와 돌아온 카츠오누스를 합계 ***체 토벌"

ペスカトーレ,페스카토레
獲得条件：フリークエスト「モドリカツウォヌス漁」をクリア,획득조건：프리 퀘스트 「돌아온 카츠오누스 잡기」를 클리어
獲得条件<br>フリークエスト「モドリカツウォヌス漁」をクリア,획득조건<br>프리 퀘스트 「돌아온 카츠오누스 잡기」를 클리어

「若き義勇の振るう剣」へ,「젊은 의용이 휘두르는 검」으로
帝国兵の青年ユーリは、作戦中に思いがけず脱走兵ファラと遭遇する。ファラが、同じく脱走兵であるカタリナと共に騎空団にいると知ったユーリは、二人を帝国に連れ戻そうと画策し──,"젊은 제국병사 유리는, 작전 중 뜻하지 않게 탈주병 파라와 조우한다。탈주병인 파라와 카타리나가 같은 기공단에 있다는 것을 알게 된 유리는 두 사람을 제국으로 데리고 돌아갈 계획을 짠다"
サイドストーリー「若き義勇の振るう剣」で<br>手に入ります,사이드 스토리 「젊은 의용이 휘두르는 검」에서 획득할 수 있습니다

サー！イエス！サー！,sir！Yes！sir！
獲得条件：水還の儀酒を累計で***個入手,획득조건：수환의 의주를 누계 ***개 획득

誇り高き帝国軍人の名にかけて,긍지높은 제국군인의 이름을 걸고
獲得条件：大真珠を累計で***個入手,획득조건：커다란 진주를 누계 ***개 획득

帝国スパイ,제국 스파이
獲得条件：「若き義勇の振るう剣」貢献度******達成,획득조건：「젊은 의용이 휘두르는 검」 공헌도 ****** 달성

揺れる想い,흔들리는 마음
獲得条件：「若き義勇の振るう剣」ストーリーを*話までクリア,획득조건：「젊은 의용이 휘두르는 검」 스토리 *화를 클리어

男の友情,남자의 우정

獲得条件：チャレンジクエスト「信義の共同戦線」をクリア,획득조건：챌린지 퀘스트 「신의의 공동 전선」을 클리어

ポセイドンバスター,포세이돈 버스터
獲得条件：「若き義勇の振るう剣」のフリークエストでインペリアルソードとポセイドンを合計*体討伐,획득조건：「젊은 의용이 휘두르는 검」의 프리 퀘스트에서 임페리얼 소드와 포세이돈을 합계 *체 토벌

水神を屠りし者,물의 신을 물리친 자
獲得条件：フリークエスト「ポセイドン討伐戦」をクリア,획득조건：프리 퀘스트 「포세이돈 토벌전」을 클리어
獲得条件<br>水還の儀酒を累計で***個入手,획득조건<br>수환의 의주를 누계 ***개 획득
獲得条件<br>大真珠を累計で***個入手,획득조건<br>커다란 진주를 누계 ***개 획득
亡命阻止,망명저지
反ポンメルン派,반 폼메른파
獲得条件<br>「若き義勇の振るう剣」貢献度******達成,획득조건<br>「젊은 의용이 휘두르는 검」 공헌도 ****** 달성
獲得条件<br>「若き義勇の振るう剣」貢献度*******達成,획득조건<br>「젊은 의용이 휘두르는 검」 공헌도 ******* 달성
獲得条件<br>「若き義勇の振るう剣」ストーリーを*話までクリア,획득조건<br>「젊은 의용이 휘두르는 검」 스토리 *화를 클리어
獲得条件<br>チャレンジクエスト「信義の共同戦線」をクリア,획득조건<br>챌린지 퀘스트 「신의의 공동 전선」을 클리어
ポセイドンスレイヤー,포세이돈 슬레이어
ポセイドンジェノサイダー,포세이돈 제노사이더
獲得条件<br>「若き義勇の振るう剣」のフリークエストでインペリアルソードとポセイドンを合計*体討伐,획득조건<br>「젊은 의용이 휘두르는 검」의 프리 퀘스트에서 임페리얼 소드와 포세이돈을 합계 *체 토벌
獲得条件<br>「若き義勇の振るう剣」のフリークエストでインペリアルソードとポセイドンを合計**体討伐,획득조건<br>「젊은 의용이 휘두르는 검」의 프리 퀘스트에서 임페리얼 소드와 포세이돈을 합계 **체 토벌
獲得条件<br>「若き義勇の振るう剣」のフリークエストでインペリアルソードとポセイドンを合計***体討伐,획득조건<br>「젊은 의용이 휘두르는 검」의 프리 퀘스트에서 임페리얼 소드와 포세이돈을 합계 ***체 토벌
獲得条件<br>フリークエスト「ポセイドン討伐戦」をクリア,획득조건<br>프리 퀘스트 「포세이돈 토벌전」을 클리어

「Duelist of Eternity」へ,「Duelist of Eternity」로
魔物に攫われた親友を救うべく戦うエルフの少女アリサと、無邪気に殺意を振りまく少女ルナ。偶然に出会ったふたりは突如空間に現れた穴に飲まれ、空の世界へと誘われる──,마물에게 납치된 친구를 구하기 위해 싸우는 엘프 소녀 아리사와 악의없는 살의를 뿌리는 소녀 루나. 우연히 만난 두 사람은 갑자기 나타난 구멍에 휩쓸려 하늘의 세계로 떨어진다.
サイドストーリー「Duelist of Eternity」で手に入ります,사이드 스토리 「Duelist of Eternity」에서 획득할 수 있습니다

大樹の恵みを受けし者,거목의 은혜을 받은 자
獲得条件：神秘の土塊を累計で***個入手,획득조건：신비한 흙덩이를 누계 ***개 획득

主に血と命を捧げよ,주인에게 피와 생명을 바쳐라
獲得条件：不滅の闘志を累計で***個入手,획득조건：불멸의 투지를 누계 ***개 획득

理を外れし者,이치에 벗어난 자
獲得条件：「Duelist of Eternity」ストーリーを後編までクリア,획득조건：「Duelist of Eternity」 스토리를 후편까지 클리어

脱初心者,초보자 탈출
獲得条件：「Duelist of Eternity」のフリークエストでクレイゴーレムとモルディカイを合計*体討伐,획득조건：「Duelist of Eternity」의 프리 퀘스트에서 클레이 골렘과 모르데카이를 합계 *체 토벌

禁忌の降霊術師,금기의 강령술사
獲得条件：フリークエスト「暴走する泥人形を止めろ！」をクリア,획득조건：프리 퀘스트 「폭주하는 진흙 인형을 막아라！」를 클리어

終わりなき決闘者,끝없는 결투자
獲得条件：フリークエスト「いざ誓いの決闘を始めん」をクリア,획득조건：프리 퀘스트 「맹세의 결투를 시작하지」를 클리어
獲得条件<br>神秘の土塊を累計で***個入手,획득조건<br>신비의 흙덩이를 누계 ***개 획득
獲得条件<br>不滅の闘志を累計で***個入手,획득조건<br>불멸의 투지를 누계 ***개 획득
獲得条件<br>「Duelist of Eternity」ストーリーを後編までクリア,획득조건<br>「Duelist of Eternity」 스토리를 후편까지 클리어
修行中,수행중
勝利の探究者,승리의 탐구자
獲得条件<br>「Duelist of Eternity」のフリークエストでクレイゴーレムとモルディカイを合計*体討伐,획득조건<br>「Duelist of Eternity」의 프리 퀘스트에서 클레이 골렘과 모르데카이를 합계 *체 토벌
獲得条件<br>「Duelist of Eternity」のフリークエストでクレイゴーレムとモルディカイを合計**体討伐,획득조건<br>「Duelist of Eternity」의 프리 퀘스트에서 클레이 골렘과 모르데카이를 합계 **체 토벌
獲得条件<br>「Duelist of Eternity」のフリークエストでクレイゴーレムとモルディカイを合計***体討伐,획득조건<br>「Duelist of Eternity」의 프리 퀘스트에서 클레이 골렘과 모르데카이를 합계 ***체 토벌
獲得条件<br>フリークエスト「暴走する泥人形を止めろ！」をクリア,획득조건<br>프리 퀘스트 「폭주하는 진흙 인형을 막아라！」를 클리어
獲得条件<br>フリークエスト「いざ誓いの決闘を始めん」をクリア,획득조건<br>프리 퀘스트 「맹세의 결투를 시작하지」를 클리어

「救国の忠騎士」へ,「구국의 충기사」로
復活した真龍ファフニールが、王都フェードラッヘを加護する星晶獣シルフを襲撃した。一行は王都の騎士ランスロット、ヴェイン達と共に真龍討伐に向かう。,"부활한 진룡 파프니르가 왕도 페드라헤를 가호하는 성정수 실프를 습격한다。일행은 기사 란슬롯, 베인과 함께 진룡토벌에 나선다。"
サイドストーリー「救国の忠騎士」で<br>手に入ります,사이드 스토리 「구국의 충기사」에서 획득할 수 있습니다

全空に誇りし竜の騎士団,명예로운 용의 기사단
獲得条件：黄金の欠片を累計で***個入手,획득조건：황금 조각을 누계 ***개 획득

フェードラッヘただひとりの英雄,페드라헤의 유일한 영웅
獲得条件：黄金の指輪を累計で***個入手,획득조건：황금 반지를 누계 ***개 획득

白竜騎士団の一員,백룡 기사단의 일원
獲得条件：「救国の忠騎士」貢献度******達成,획득조건：「구국의 충기사」 공헌도 ****** 달성

シルフ様救出,실프님을 구출한
獲得条件：「救国の忠騎士」ストーリーを*話までクリア,획득조건：「구국의 충기사」 스토리 *화를 클리어


竜殺し,용살자
獲得条件：チャレンジクエスト『竜殺し』をクリア,획득조건：챌린지 퀘스트 『용살자』를 클리어

ファフニールバスター,파프니르 버스터
獲得条件：「救国の忠騎士」のフリークエストでファフニールを*体討伐,획득조건：「구국의 충기사」의 프리 퀘스트에서 파프니르를 *체 토벌

絶対に許さない,절대로 용서치 않겠다
獲得条件：フリークエスト「ファフニール討伐戦」をクリア,획득조건：프리 퀘스트 「파프니르 토벌전」을 클리어
獲得条件<br>フリークエスト「ファフニール討伐戦」をクリア,획득조건<br>프리 퀘스트 「파프니르 토벌전」을 클리어

シルフ様お許しを,실프님 용서해 주십시오
獲得条件：「救国の忠騎士」のフリークエストでシルフを*体討伐,획득조건：「구국의 충기사」의 프리 퀘스트에서 실프를 *체 토벌

いつかどこかで巡り合うその日まで,언젠가 다시 만날 그날까지
獲得条件：フリークエスト「シルフとの戦い」をクリア,획득조건：프리 퀘스트 「실프와의 싸움」을 클리어
獲得条件<br>黄金の欠片を累計で***個入手,획득조건<br>황금 조각을 누계 ***개 획득
獲得条件<br>黄金の指輪を累計で***個入手,획득조건<br>황금 반지를 누계 ***개 획득
カルマ運び屋,카르마 운반책
シルフ様ファン倶楽部,실프님 팬클럽
獲得条件<br>「救国の忠騎士」貢献度******達成,획득조건<br>「구국의 충기사」 공헌도 ****** 달성
獲得条件<br>「救国の忠騎士」貢献度*******達成,획득조건<br>「구국의 충기사」 공헌도 ******* 달성
獲得条件<br>「救国の忠騎士」ストーリーを*話までクリア,획득조건<br>「구국의 충기사」 스토리 *화를 클리어
獲得条件<br>チャレンジクエスト『竜殺し』をクリア,획득조건<br>챌린지 퀘스트 『용살자』를 클리어
ファフニールスレイヤー,파프니르 슬레이어
ファフニールジェノサイダー,파프니르 제노사이더
獲得条件<br>「救国の忠騎士」のフリークエストでファフニールを*体討伐,획득조건<br>「구국의 충기사」의 프리 퀘스트에서 파프니르를<br>*체 토벌
獲得条件<br>「救国の忠騎士」のフリークエストでファフニールを**体討伐,획득조건<br>「구국의 충기사」의 프리 퀘스트에서 파프니르를<br>**체 토벌
獲得条件<br>「救国の忠騎士」のフリークエストでファフニールを***体討伐,획득조건<br>「구국의 충기사」의 프리 퀘스트에서 파프니르를<br>***체 토벌
本当はこんなことしたくないんだ,사실은 이러고 싶지 않아
シルフ様フォーエバー,실프님 포에버
獲得条件<br>「救国の忠騎士」のフリークエストでシルフを*体討伐,획득조건<br>「구국의 충기사」의 프리 퀘스트에서 실프를 *체 토벌
獲得条件<br>「救国の忠騎士」のフリークエストでシルフを**体討伐,획득조건<br>「구국의 충기사」의 프리 퀘스트에서 실프를 **체 토벌
獲得条件<br>「救国の忠騎士」のフリークエストでシルフを***体討伐,획득조건<br>「구국의 충기사」의 프리 퀘스트에서 실프를 ***체 토벌
獲得条件<br>フリークエスト「シルフとの戦い」をクリア,획득조건<br>프리 퀘스트 「실프와의 싸움」을 클리어
"バルムンク<div class=""ico-weapon-*""></div>","발뭉<div class=""ico-weapon-*""></div>"
"バルムンク（Lv***）<div class=""ico-weapon-*""></div>","발뭉（Lv***）<div class=""ico-weapon-*""></div>"
バルムンク（Lv***）,발뭉（Lv***）
奥義：クリムゾンカラミティ,오의：크림슨 캘러미티
スキル：紅蓮の守護,스킬：홍련의 수호
スキル：火の背水,스킬：불의 배수





「過日の痕、明日への扉」へ,"「과거의 상처, 내일을 향한 문」으로"
『触れてはならぬ者』を封じた祭壇を守る守り人達のひとり、スーテラ。彼女は新たに守り人となるべく試練を受けることになった少女アステールの頼みで見届け人を果たすことになり──,"""건드려선 안될 자""를 봉인한 제단을 지키는 수호자들 중 하나인 스테라. 그녀는 새로운 수호자의 시련을 치르게 된 소녀 아스테르의 부탁으로 시련에 참관하게되는데……"
