orig,kr
敵を倒したとき、経験値のほかに<br>回復薬の「ポーション」が手に入る場合があります。<br>回復薬はそのバトル中のみ使用できます。,"적을 쓰러뜨렸을 때, 경험치 외에 <br> 회복약인 「포션」을 얻을 수 있습니다.<br>회복약은 해당 배틀 중에만 사용할 수 있습니다."
メインクエストのバトルに勝利するとクエストクリアとなり、報酬を獲得できます。,"메인 퀘스트 배틀에서 승리하면 퀘스트 클리어가 되며, 보상을 획득할 수 있습니다."
経験値の他、アドベンチャーパートで手に入れた宝箱の中身を入手することができます。,"경험치 외에, 어드벤처 파트에서 입수한 보물상자의 내용을 입수할 수 있습니다."
バトルでも敵を倒すことで宝箱を獲得できる場合があります。強敵ほどレアな宝箱を落とすので、挑戦してみましょう！,"배틀에서도 적을 쓰러뜨림으로써 보물상자를 획득할 수 있는 경우가 있습니다. 강적일수록 희귀한 보물상자를 떨어뜨리니, 도전해 봅시다!"

あっ！ウサギさんが近寄ってきます！ かわいいなぁ～,앗！토끼가 다가와요！귀여워라～
待て待て！ ありゃ、ああ見えて凶暴な魔物だぜ！,"잠깐 기다려！저거, 저래 보여도 흉포한 마물이야！"
油断するな！いくぞ！,방심하지 마！가자！
ウサギさ～ん、おいでおいで～,토끼야～ 이리 와～
次は技を使ってきやがるぞ！ はやく倒しちまえ！,다음엔 적이 기술을 사용할거야！어서 쓰러뜨려！ 
ぴょんぴょん,깡충깡충
姐さん！なにやってんだ！,누님！뭐하는 거야！
うぅ…あのモフモフなウサギをこの手にかけるのかと思うと…,으... 저 푹신푹신한 토끼를 이 손으로 만진다고 생각하니…
すまない、今後は君と同じ敵を狙うようにするよ。,미안하다. 이제부터는 너와 같은 적을 노리도록 하겠어
結構ダメージを受けたなぁ。でも、あとはコイツらを倒せば…！,"꽤 데미지를 입었네. 하지만, 앞으로 이녀석들만 쓰러뜨리면...！"
さっき拾った回復薬を使おう！惜しんでいても得にならないぞ。,아까 주운 회복약을 쓰자구！아껴봐야 남는 것도 없다구

クエスト中に「キュアポーション」「オールポーション」を入手した場合、バトルで使用することができます。,"퀘스트 중 「큐어 포션」, 「올 포션」을 입수하면 배틀에서 사용할 수 있습니다"
「キュアポーション」は味方一人のHP、「オールポーション」は全員のHPを回復することができます。,"「큐어 포션」은 아군 한 사람의 HP, 「올 포션」은 모두의 HP를 회복할 수 있습니다"
「キュアポーション」「オールポーション」は、使用しない場合でもバトルが終了すると消失します。入手した時は積極的に使用していきましょう！,「큐어 포션」 「올 포션」은 사용하지 않았어도 배틀이 종료되면 소실됩니다. 획득했을 때는 적극적으로 사용합시다！
アイテムを使用,아이템을 사용
使用するアイテムを選択してください,사용하실 아이템을 선택해 주세요.
キュアポーション,큐어포션
"所持数　<span class=""having-num"">*</span>","소지수　<span class=""having-num"">*</span>"
"所持数　<span class=""having-num"">**</span>","소지수　<span class=""having-num"">**</span>"
"所持数　<span class=""having-num"">***</span>","소지수　<span class=""having-num"">***</span>"
"所持数　<span class=""having-num"">****</span>","소지수　<span class=""having-num"">****</span>"
オールポーション,올 포션
オールポーションを使用します,올 포션을 사용합니다
"所持数　<span class=""having-num"">*</span>→<span class=""after-num"">*</span>","소지수　<span class=""having-num"">*</span>→<span class=""after-num"">*</span>"
"所持数　<span class=""having-num"">**</span>→<span class=""after-num"">*</span>","소지수　<span class=""having-num"">**</span>→<span class=""after-num"">*</span>"
"所持数　<span class=""having-num"">***</span>→<span class=""after-num"">**</span>","소지수　<span class=""having-num"">***</span>→<span class=""after-num"">**</span>"
"所持数　<span class=""having-num"">***</span>→<span class=""after-num"">***</span>","소지수　<span class=""having-num"">***</span>→<span class=""after-num"">***</span>"
"所持数　<span class=""having-num"">****</span>→<span class=""after-num"">***</span>","소지수　<span class=""having-num"">****</span>→<span class=""after-num"">***</span>"
"所持数　<span class=""having-num"">****</span>→<span class=""after-num"">****</span>","소지수　<span class=""having-num"">****</span>→<span class=""after-num"">****</span>"
"所持数　<span class=""having-num"">*****</span>→<span class=""after-num"">****</span>","소지수　<span class=""having-num"">*****</span>→<span class=""after-num"">****</span>"
"所持数　<span class=""having-num"">*****</span>→<span class=""after-num"">*****</span>","소지수　<span class=""having-num"">*****</span>→<span class=""after-num"">*****</span>"
戦闘に参加しているメンバー全員が<br>回復します,모든 전투에 참가하고 있는 멤버들이 <br>회복합니다
さぁさぁ、元気のでたところで奥義でブッ倒しちまえぃ！,"자자, 건강해진 참에 오의로 쓰러뜨려버려！"
頼んだ！ このまま【攻撃】で一気に行くぞ！,맡겨뒀어! 이대로 【공격】으로 단숨에 간다！
お！ 素早い攻撃だなぁ。やるじゃねぇか！,오! 재빠른 공격인데? 제법이잖아！
ふふ、稀に【ダブルアタック】として連続で攻撃できる場合があるのさ。,"후후, 드물게 【더블어택】으로 연속으로 공격할 수 있는 경우가 있는 거야"
さぁ、このまま街を目指しましょう！,"자, 이대로 마을에 가요！"


!제노 토벌・격멸전
「撃滅戦トップ」へ,「격멸전TOP」으로




ゼノ・ディアボロス撃滅戦,제노 디아볼로스 격멸전
Lv*** ゼノ・ディアボロスへの挑戦,Lv*** 제노 디아볼로스에게 도전
トレジャーを消費して<br>Lv*** ゼノ・ディアボロスと<br>対決します。,트레저를 소비해서<br>Lv*** 제노 디아볼로스와<br>대결합니다


撃滅戦ミッション,격멸전 미션
全てのミッションをクリア,모든 미션을 클리어
一覧に戻る,목록으로 돌아간다
ゼノ・ディアボロスの<br>難度EXTREMEを*回クリア,제노 디아볼로스<br>난이도 EXTREME을 *회 클리어
ゼノ・ディアボロスの<br>難度EXTREMEを**回クリア,제노 디아볼로스<br>난이도 EXTREME을 **회 클리어

ゼノ・ディアボロスの<br>難度HELLを*回クリア,제노 디아볼로스<br>난이도 HELL을 *회 클리어
ゼノ・ディアボロスの<br>難度HELLを**回クリア,제노 디아볼로스<br>난이도 HELL을 **회 클리어

ゼノ・ディアボロスの<br>マルチバトルを*回クリア,제노 디아볼로스<br>멀티배틀을 *회 클리어
ゼノ・ディアボロスの<br>マルチバトルを**回クリア,제노 디아볼로스<br>멀티배틀을 **회 클리어


"報酬: <span class=""txt-orange"">エリクシールハーフ ×**</span>","보상 : <span class=""txt-orange"">엘릭실 하프 ×**</span>"
"報酬: <span class=""txt-orange"">幻魔の破片 ×**</span>","보상 : <span class=""txt-orange"">환마의 파편 ×**</span>"
"報酬: <span class=""txt-orange"">ディアボロスのアニマ ×**</span>","보상 : <span class=""txt-orange"">디아볼로스의 아니마 ×**</span>"
"報酬: <span class=""txt-orange"">ディアボロスのマグナアニマ ×**</span>","보상 : <span class=""txt-orange"">디아볼로스의 마그나 아니마 ×**</span>"
"報酬: <span class=""txt-orange"">ゼノ・ディアボロスの真なるアニマ ×*</span>","보상 : <span class=""txt-orange"">제노 디아볼로스의 진정한 아니마 ×*</span>"
"報酬: <span class=""txt-orange"">六道・普天幻魔 ×*</span>","보상 : <span class=""txt-orange"">육도・보천환마 ×*</span>"
"報酬: <span class=""txt-orange"">アドヴォケイト ×*</span>","보상 : <span class=""txt-orange"">어드보케이트 ×*</span>"
"報酬: <span class=""txt-orange"">真なる闇のアニマ ×**</span>","보상 : <span class=""txt-orange"">진정한 어둠의 아니마 ×**</span>"
"報酬: <span class=""txt-orange"">妖魔の枷鎖 ×**</span>","보상 : <span class=""txt-orange"">요마의 가쇄 ×**</span>"
"報酬: <span class=""txt-orange"">アバターのマグナアニマ ×*</span>","보상 : <span class=""txt-orange"">아바타의 마그나 아니마 ×*</span>"
"報酬: <span class=""txt-orange"">黒闇の耳飾り ×*</span>","보상 : <span class=""txt-orange"">흑암의 귀걸이 ×*</span>"
































































































































何につけても、まずは己の身を守るための武器が必要だ。ここは「ガチャ」で揃えるとしようか。,"어떤 이유에서든, 우선 자신을 지키기 위한 무기가 필요하다. 여기는 「가챠」로 얻어볼까?"
ルピを消費し、ガチャを引くことができます。,"루피를 소비하여, 가챠를 할 수 있습니다"
消費ルピ: ***,소비 루피 : ***
消費ルピ: ****,소비 루피 : ****
消費ルピ: *****,소비 루피 : *****
消費ルピ: ******,소비 루피 : ******
** 回<br>ルピガチャを引く,**회<br>루피 가챠를 뽑는다
* 回<br>ルピガチャを引く,*회<br>루피 가챠를 뽑는다
*** 回<br>ルピガチャを引く,***회<br>루피 가챠를 뽑는다

ガチャ結果,가챠 결과
以下**点をGET！,이하 **점을 GET！ 
ウェルダーが仲間に加わりました！<br>			ウェルダーのフェイトエピソードが解放されました！,웰더가 동료에 합류했습니다！<br>                        웰더의 페이트 에피소드가 해방되었습니다！
さっそく装備する,바로 장비한다

出会いの物語が解放されました。,만남의 이야기가 해방되었습니다
ウェルダーが仲間になりました。,웰더가 동료가 됐습니다
プレイヤー名設定,플레이어명 설정
所属無し,소속 없음
獲得キャラクター,획득 캐릭터
ウェルダーがパーティに加入しました！<br>			キャラクターがルリアノートに<br>登録されました！,웰더가 파티에 가입했습니다！<br>캐릭터가 루리아노트에<br>등록되었습니다！
編成へ,편성으로
武器や召喚石は装備することではじめてその効果を発揮します。,무기나 소환석은 장비해야 그 효과가 발휘됩니다
武器は**個、召喚石は*個まで同時に装備が可能です。全ての装備の能力の合計がキャラに割り振られます。,"무기는 **개, 소환석은 *개까지 동시에 장비가 가능합니다. 모든 장비의 능력의 합계가 캐릭터에 할당됩니다"
武器と召喚石は個別に装備できますが、ここでは「おまかせ編成」で一度にまとめて装備してみましょう。,"무기와 소환석은 개별적으로 장비할 수 있습니다만, 여기에서는 「자동 편성」으로 한 번에 정리해보겠습니다"
「おまかせ編成」で現在の状態で最適な武器と召喚石を自動で選ぶことができるんだ。,「자동 편성」으로 현재 상태에서 최적의 무기와 소환석을 자동으로 고를 수 있어
攻撃力かHPのどちらをとるかというところと、重視したい属性を選択してくれ。,공격력이나 HP 중 어느 쪽을 택할것인지와 중시할 속성을 선택해줘
おまかせ編成しました。,자동편성 했습니다


討伐成功報酬で<br>土の戦貨を*枚獲得した!,토벌 성공 보상으로<br>흙의 전화 *장을 획득했다!
討伐成功報酬で<br>土の戦貨を**枚獲得した!,토벌 성공 보상으로<br>흙의 전화 **장을 획득했다!
宝晶石を**個獲得！,보정석을 **개 획득！
土の戦貨を***個獲得！,흙의 전화 ***개 획득!


スパイクシューター,스파이크 슈터
アークエンジェルアックス,아크엔젤 액스
エンジェル召喚石,엔젤 소환석






コーデックス・アニムス ×*,코덱스 아니무스 ×*
プロトジョヤ,프로토 죠야


ミスリルヘラ,미스릴 주걱
オクトポム,옥토폼

スキルシャード,스킬 샤드


スキルジュエル,스킬 쥬얼


















除夜の終わりに響く鐘,제야의 끝에 울리는 종

Lv** リゼット・フィロソフィカス,Lv** 리제트・필로소피커스
Lv** ヘクトアイズ,Lv** 헥토 아이즈
Lv** ニグレド,Lv** 니그레도
Lv** リゼット,Lv** 리제트
暴走するホムンクルス,폭주하는 호문쿨루스

識者の秘薬,식자의 비약
"所持数<span class=""txt-article-num"">**個</span>","소지수<span class=""txt-article-num"">**개</span>"
"必要数<span class=""txt-article-num"">*個</span>","필요수<span class=""txt-article-num"">*개</span>"




前から気になってたししょーの服、<br>こっそり作って着てみたよ！<br>何だか錬金術の腕も上がった気がする……！<br>さっそく魔物相手に練習だっ☆,이전부터 신경쓰였던 스승의 옷을<br>몰래 만들어봤어！<br>왠지 연금술 실력도 올라간 것 같은걸……！<br>그럼 당장 마물로 시험해보자☆
錬金術か……<br>勉強すればオイラも<br>使えるようになんのか……？,연금술인가……<br>공부하면 이 몸도<br>사용할 수 있는거야……？

これでやっと楽に……
リゼット *,리제트*

ミレイユ 戦貨,밀레이유 전화
ミレイユ 討伐章,밀레이유 토벌
ミレイユ 貢献度,밀레이유 공헌도
ミレイユ *,밀레이유*
リゼット 戦貨,리제트 전화
リゼット 討伐章,리제트 토벌
リゼット 貢献度,리제트 공헌도
カリオストロ 戦貨,칼리오스트로 전화
カリオストロ 討伐章,칼리오스트로 토벌
カリオストロ 貢献度,칼리오스트로 공헌도
カリオストロ *,칼리오스트로 *
クラリス 戦貨,클라리스 전화
クラリス 討伐章,클라리스 토벌
クラリス 貢献度,클라리스 공헌도
クラリス *,클라리스 *
ルリア *,루리아 *
ビィ *,비 *
リゼットを倒したぴにゃ達。ミレイユは倒れ込むリゼットに駆け寄り──,리제트를 쓰러트린 지타일행. 밀레이유는 쓰러진 리제트에게 달려가고──
台詞集について,대사집에 대해서


台詞集,대사집
ミレイユは自身の研究室で過去の夢から目を覚まし──,밀레이유는 자신의 연구실에서 과거의 꿈에서 깨어나고──
どうして、<br>こんな身体なのかな……,"어째서,<br>이런 몸인걸까……"
人体錬成……<br>これさえできるように<br>なれば……,인체연성……<br>이것만 성공할 수 있다면……
私も皆みたいに<br>外で遊びたいな……,나도 다른 사람들처럼<br>밖에서 놀고싶어……
ヘルメス錬金術学会が研究を行う街で行方不明者が多発しているという情報を耳にしたぴにゃ達は、情報にあった街を訪れ──,"헤르메스 연금술학회가 연구를 진행하는 곳에서 행방불명자가 속출한다는 정보를 얻은 [플레이어]일행은, 정보의 장소로 향하는데──"
今のままじゃ知識が<br>足りない……<br>もっと勉強しないと……,이대로는 지식이 부족해……<br>더욱 더 공부해야되……
リゼット……<br>それが私の名前……,리제트……<br>내 이름……
ご主人様、<br>ご命令を……,"주인님, 명령을……"
ミレイユ様、体調は<br>どうですか？,"밀레이유님, 몸 상태는<br>괜찮으십니까？"
カリオストロによる錬金術の授業が始まる。カリオストロはまずミレイユに、ミレイユが求める「元気な身体」の定義を問い──,"칼리오스트로의 연금술 수업이 시작되었다. 칼리오스트로는 밀레이유에게, 우선 그녀가 원하는 「건강한 몸」의 정의를 묻는다──"

宜しくお願いします、<br>カリオストロ先生。,"잘부탁드려요,<br>칼리오스트로 선생님."
カリオストロ先生の教えを<br>受ければ、きっと願いに<br>手が届くはず……,"칼리오스트로 선생님의 수업을<br>받는다면, 반드시 원하는걸<br>이룰 수 있을거야……"
ミレイユ様、あまり無茶は<br>しないでください。,"밀레이유님, 너무 무리하지 마세요."
カリオストロ様の授業……<br>私も一緒に参加しても<br>よろしいでしょうか？,칼리오스트로님의 수업……<br>저도 같이 참여해도<br>괜찮겠습니까？
ミレイユを見ていると<br>昔を思い出すな。,밀레이유를 보고있으면<br>예전 기억이 떠오르는걸.
オレ様が教える以上、<br>中途半端は認めねぇ。,"이 몸이 가르치는 이상,<br>어중간하게 넘어가는건 인정하지 않겠어."
カリオストロも<br>意外と優しいとこあるよな！,칼리오스트로도<br>의외로 상냥한 면이 있구나！
ついにうちが先輩かぁ……<br>うん、しっかりしないとね☆,"우리들도 드디어 선배가 된거구나……<br>응, 확실히 하자구☆"
どうして、<br>リゼットばかりが……,"어째서,<br>리제트만……"
モット……モット……,더…… 더……
リゼット,리제트
リゼットが人を……<br>全部、私の所為……なの？,"리제트가 사람을……<br>전부, 내 탓……인거야？"
リゼットを諦める。<br>今までの私なら……<br>でも、今は……
なんで……なんで、<br>こんなに胸が<br>苦しいのよ……,"어째서……어째서,<br>이렇게나 마음이<br>아픈거야……"
ミレイユ様、<br>一体、どこに……,"밀레이유님,<br>대체, 어디에……"
錬金術師ってのは、<br>自分が造ったモノから<br>逃げちゃいけねぇんだ。,"연금술사는,<br>자신이 창조한 것에서<br>도망쳐선 안돼는거다."
ししょー！<br>ふたりとも助ける方法、<br>何かないの！？,스승！<br>둘다 구할 수 있는 방법은<br>없는거야！？
そんな……<br>リゼットさんが、<br>街の人を食べてるなんて……,"그럴수가……<br>리제트씨가,<br>사람을 잡아먹다니……"
早く、リゼットさんと<br>ミレイユさんを<br>見つけましょう！,"빨리, 리제트씨와<br>밀레이유씰<br>찾으러가요！"
ごめんなさい。<br>ごめんなさい。<br>リゼット……,미안해.<br>미안해.<br>리제트……
ミレイユサマガ<br>ホシイ……,밀레이유님을<br>원해……
ミレイユサマ……<br>オイシイ……<br>モット……,밀레이유님……<br>맛있어……<br>더 줘……
くそっ……！<br>これ以上面倒事は……,썩을……！<br>이 이상 귀찮은건……
リゼット……,리제트……
全部、全部、<br>私の所為……,"전부, 전부,<br>내 탓이야……"
責任も罪も全部、<br>私が背負うから……<br>だから、リゼットを……,"책임도 죄도 모두.<br>내가 짊어질테니까……<br>그러니까, 리제트를……"
リゼット、これからは<br>ずっと一緒よ。,"리제트, 이제부터<br>항상 함께있자."
すみません、<br>ミレイユ様……,"죄송해요,<br>밀레이유님……"
つくづくオレ様も<br>お人好しだな……,정말이지 이 몸도<br>어리숙하구만……
オイラ、<br>こんなお別れなんて<br>嫌だぜ……,"나,<br>이런 이별은<br>질색이라구……"

トレジャーショップにてダマスカス磁性粒子を交換することで手に入ります,트레저 숍에서 다마스쿠스 자성 입자를 교환하면 구할 수 있습니다

奥義：アルケミック・バースト,오의：알케믹 버스트
スキル：錬成の攻刃,스킬：연성의 공인
スキル：土杭斉射,스킬：흙말뚝 일제사격
敵の数が*体の時、連続攻撃確率UP<br>◆メイン装備時/主人公のみ,적의 수가 *일 때、연속공격 확률 UP<br>◆메인 장비시 / 주인공에게만

キャラクターのEXリミットボーナスを<br>*つ解放することができます。,캐릭터의 EX 리미트 보너스를 <br>*개 해방할 수 있습니다.
特定のイベント報酬等で手に入ります。,특정 이벤트 보상 등으로 얻을 수 있습니다.























!처음하는 그랑블루
はじめてのグラブル,처음하는 그랑블루
最新話,최신화
第*話,제*화
第**話,제**화
第***話,제***화
第****話,제****화
「星の古戦場」を遊ぼう！,「별의 고전장」을 즐기자！
他の騎空団と競う「星の古戦場」で仲間と一緒に戦おう！,다른 기공단과 경쟁하는 「별의 고전장」에서 동료들과 함께 싸우자！
一覧,한번에 보기
シェロの解説,셰로의 설명
グラブル始めました！,그랑블루 시작했습니다！
続きはこちら,다음화는 이쪽
騎空士デビューしたジータちゃん。どうしたらいいか困っていると……,기공사데뷔를한 지타짱. 어떻게 해야할지 몰라 곤란해하던 때에…
仲間を増やそう！,동료를 늘리자！
強い仲間を増やしたいジータちゃんに仲間を増やす方法をご紹介！,강한동료를 늘리고 싶은 지타짱에게 동료를 늘릴 수 있는 방법을 소개！
武器を集めよう！,무기를 모으자！
強敵に苦戦するジータちゃん。強くなるため武器を集めようとするが……,강적에게 고전하는 지타짱. 강해지기위해 무기를 모으려고하는데...
召喚石の効果って？,소환석효과가 뭐야?
武器について理解したジータちゃん。次は召喚石についてだが……,무기에 대해 마침내 이해한 지타짱. 다음은 소환석인데...
色んなジョブを極めよう！,여러가지 직업을 배워보자!
ファイターのジョブをマスターしたジータちゃんが次に目指すのは……,파이터 직업을 마스터한 지타짱이 다음에 목표로하는 것은…
EXアビリティって？,EX어빌리티가 뭐야?
複数のジョブをマスターしたジータちゃんにEXアビリティを紹介！,여러가지 직업을 마스터한 지타짱에게 EX어빌리를 소개!
大事なものって？,중요한 물건이 뭐야?
大事なものを手に入れたジータちゃんに大事な理由を伝えると……,중요한 물건을 얻은 지타짱에게 왜 중요한지 전달해주려는데...
騎空団始めました！,기공단 시작했습니다!
騎空団を立ち上げるジータちゃんに騎空団の魅力について紹介！,기공단을 세운 지타짱에게 기공단의 매력에 대해서 소개!
武器を強化しよう！,무기를 강화해보자!
武器が集まってきたジータちゃん。強化素材について悩んでいると……,무기를 많이 모은 지타짱. 강화소재에 고민하고 있었는데...
