orig,kr
トゲ棍棒が人気の理由その一。壊れてトゲが取れてしまっても、ただの棍棒になるだけ。

オークスタッフ,오크 스태프
樫に雷が落ちると、そこに黄金の宿木が生じる。樫が魔術触媒として優れている所以だ。




ヤントック,얀토크
術師は杖に身を預ける。魔法を扱う時に魂を支える杖は、厳選された素材から作られる。

マスケット
火薬を込め、弾を込め、狙って撃つ。筒の中を掃除して、再び火薬を込め、弾を込め、狙う。

ウォル・ロック
これだけ小さければ護身用にも暗殺用にも隠しておくことができる。威力はともかくとして。

ホイルロック
カチンと音を立て、歯車がバネに弾かれる。火花が舞い踊り、眠っていた火薬を叩き起す。

リトルトーピド,리틀 톨피도
巨大な銃口が特徴的。威力は高いが普通の銃とは重心が違うため、扱いには鍛錬が必要だ。

イーグルティアーズ
その弾丸は風を貫き、一閃となって空を裂く。その姿は一直線に獲物を仕留める空の獣にも似ていた。

ブロンズバグナウ
魔物の爪を模した造形は、威力、デザイン共に申し分がない。拳を突き出し振り下ろし、敵を切り裂くのだ。

ホラ
骨を用いて作られた打撃武器。軽くて丈夫、そして安価。何の骨かは……知らないほうがいいかもな。

カエストス
硬く丈夫な革紐を、拳に巻きつけ殴打する。一体感と安定感を重視したいなら、コイツで間違いないぜ。

ブロンズナックル
殴打すること。それは特別な技巧を必要としない。しかし極めればそれは恐ろしい戦闘技術となる。

ショートボウ
一般的な長弓よりも短く、携行しやすい。弓を引き絞るのに力がいらないので、初心者でも扱いやすい。

セルフボウ
単一の木材を使用して作られた長弓。剛性、柔性ともに複合弓より劣るが、低いコストで大量生産が可能である。

メイプルハープ
広く普及している木製の竪琴。しかし、一たび魔の旋律を奏でれば、それは戦場を支配する武器となる。

苦無
忍びになりたいか？それなら、一に、この暗器を使いこなすこと。二に、ござる口調を止めることだ。

太刀,태도
この刀を見て、華奢と笑うか。ならば、我が刀を振り抜き、汝の身体と汝の堅き鎧を共に斬りても、笑みを消さぬままいられるか。

ウェポンミラージュ
武器が宿した力はひとつ所へ集まり、やがてこの宝玉に辿り着く。その輝きは数多の武器へと受け継がれ、新たな力となる。
ウェポンミラージュを強化素材として使用することで、ベースとなる武器にボーナス値が付与されます。武器のボーナス値の上限は「+**」で、「+*」ごとに「攻撃力+*」、「HP+*」ずつステータスが上昇します。
