jp,kr
697409,COLUMBIA COUNTY
633944,COLUMBIA COUNTY
963511,COLUMBIA COUNTY
729649,COLUMBIA COUNTY
862584,COLUMBIA COUNTY
371891,COLUMBIA COUNTY
785595,COLUMBIA COUNTY
567696,COLUMBIA COUNTY
219025,COLUMBIA COUNTY
447216,COLUMBIA COUNTY
305141,COLUMBIA COUNTY
625575,COLUMBIA COUNTY
262109,COLUMBIA COUNTY
228457,COLUMBIA COUNTY
622799,COLUMBIA COUNTY
233271,COLUMBIA COUNTY
932950,COLUMBIA COUNTY
641952,COLUMBIA COUNTY
796260,COLUMBIA COUNTY
301822,COLUMBIA COUNTY
559927,COLUMBIA COUNTY
224400,COLUMBIA COUNTY
123936,COLUMBIA COUNTY
333818,COLUMBIA COUNTY
254323,COLUMBIA COUNTY
247444,COLUMBIA COUNTY
882598,COLUMBIA COUNTY
386918,COLUMBIA COUNTY
497337,COLUMBIA COUNTY
526844,COLUMBIA COUNTY
623400,COLUMBIA COUNTY
826170,COLUMBIA COUNTY
185483,COLUMBIA COUNTY
920003,COLUMBIA COUNTY
274246,COLUMBIA COUNTY
423636,COLUMBIA COUNTY
970906,COLUMBIA COUNTY
227898,COLUMBIA COUNTY
525138,COLUMBIA COUNTY
923627,COLUMBIA COUNTY
619743,COLUMBIA COUNTY
910727,COLUMBIA COUNTY
363647,COLUMBIA COUNTY
512519,COLUMBIA COUNTY
904304,COLUMBIA COUNTY
835349,COLUMBIA COUNTY
891725,COLUMBIA COUNTY
923503,COLUMBIA COUNTY
292347,COLUMBIA COUNTY
363828,COLUMBIA COUNTY
110490,COLUMBIA COUNTY
480733,COLUMBIA COUNTY
993346,COLUMBIA COUNTY
934992,ST  JOHNS COUNTY
645841,ST  JOHNS COUNTY
747846,ST  JOHNS COUNTY
482457,ST  JOHNS COUNTY
574787,ST  JOHNS COUNTY
831418,ST  JOHNS COUNTY
968562,ST  JOHNS COUNTY
576324,ST  JOHNS COUNTY
290435,ST  JOHNS COUNTY
526086,ST  JOHNS COUNTY
119823,ST  JOHNS COUNTY
497414,ST  JOHNS COUNTY
340883,ST  JOHNS COUNTY
892551,ST  JOHNS COUNTY
670595,ST  JOHNS COUNTY
194101,ST  JOHNS COUNTY
167200,ST  JOHNS COUNTY
139064,ST  JOHNS COUNTY
846636,ST  JOHNS COUNTY
310177,NASSAU COUNTY
865452,NASSAU COUNTY
783429,NASSAU COUNTY
878060,NASSAU COUNTY
935342,NASSAU COUNTY
456376,NASSAU COUNTY
363001,NASSAU COUNTY
478864,NASSAU COUNTY
600402,NASSAU COUNTY
483983,NASSAU COUNTY
991615,NASSAU COUNTY
644573,NASSAU COUNTY
853278,NASSAU COUNTY
100658,NASSAU COUNTY
433115,NASSAU COUNTY
760337,NASSAU COUNTY
884738,NASSAU COUNTY
610102,NASSAU COUNTY
830823,NASSAU COUNTY
618364,NASSAU COUNTY
712563,NASSAU COUNTY
493030,NASSAU COUNTY
188150,NASSAU COUNTY
589642,NASSAU COUNTY
846109,NASSAU COUNTY
399079,NASSAU COUNTY
680135,NASSAU COUNTY
621379,NASSAU COUNTY
606710,NASSAU COUNTY
443319,NASSAU COUNTY
228591,NASSAU COUNTY
721610,NASSAU COUNTY
507395,NASSAU COUNTY
213399,NASSAU COUNTY
579400,NASSAU COUNTY
509951,NASSAU COUNTY
930798,NASSAU COUNTY
729247,NASSAU COUNTY
288344,NASSAU COUNTY
275351,NASSAU COUNTY
976690,NASSAU COUNTY
507111,NASSAU COUNTY
547458,NASSAU COUNTY
827732,NASSAU COUNTY
229489,NASSAU COUNTY
175251,NASSAU COUNTY
590043,NASSAU COUNTY
476037,NASSAU COUNTY
674960,NASSAU COUNTY
743790,NASSAU COUNTY
817283,NASSAU COUNTY
201980,NASSAU COUNTY
351505,NASSAU COUNTY
798806,NASSAU COUNTY
153643,NASSAU COUNTY
683653,NASSAU COUNTY
475264,NASSAU COUNTY
912944,NASSAU COUNTY
945134,NASSAU COUNTY
219959,NASSAU COUNTY
793504,NASSAU COUNTY
450423,NASSAU COUNTY
505178,NASSAU COUNTY
408688,NASSAU COUNTY
477759,NASSAU COUNTY
882441,NASSAU COUNTY
727602,NASSAU COUNTY
313226,NASSAU COUNTY
337027,NASSAU COUNTY
649251,NASSAU COUNTY
142564,NASSAU COUNTY
197782,NASSAU COUNTY
709787,NASSAU COUNTY
655065,NASSAU COUNTY
176778,NASSAU COUNTY
559179,NASSAU COUNTY
698071,NASSAU COUNTY
642950,NASSAU COUNTY
477240,NASSAU COUNTY
672348,NASSAU COUNTY
922844,NASSAU COUNTY
948580,NASSAU COUNTY
364552,NASSAU COUNTY
561601,NASSAU COUNTY
584749,NASSAU COUNTY
601327,COLUMBIA COUNTY
302578,COLUMBIA COUNTY
756585,COLUMBIA COUNTY
627591,COLUMBIA COUNTY
663563,COLUMBIA COUNTY
108959,COLUMBIA COUNTY
951069,COLUMBIA COUNTY
490641,BAKER COUNTY
443968,BAKER COUNTY
433688,CLAY COUNTY
168578,CLAY COUNTY
294375,CLAY COUNTY
902110,CLAY COUNTY
279816,CLAY COUNTY
994565,CLAY COUNTY
930535,CLAY COUNTY
844642,CLAY COUNTY
292887,CLAY COUNTY
655128,CLAY COUNTY
164038,CLAY COUNTY
163057,CLAY COUNTY
327730,CLAY COUNTY
218187,CLAY COUNTY
697530,CLAY COUNTY
619053,CLAY COUNTY
431406,CLAY COUNTY
256801,CLAY COUNTY
571398,CLAY COUNTY
239669,CLAY COUNTY
530369,CLAY COUNTY
948187,CLAY COUNTY
571059,CLAY COUNTY
470539,CLAY COUNTY
791046,CLAY COUNTY
563971,CLAY COUNTY
823903,CLAY COUNTY
812504,CLAY COUNTY
597719,CLAY COUNTY
716513,CLAY COUNTY
378286,CLAY COUNTY
698982,CLAY COUNTY
624550,CLAY COUNTY
666076,CLAY COUNTY
474145,CLAY COUNTY
572929,CLAY COUNTY
640205,CLAY COUNTY
295930,CLAY COUNTY
823004,CLAY COUNTY
230536,CLAY COUNTY
936142,CLAY COUNTY
724639,CLAY COUNTY
119986,CLAY COUNTY
603370,CLAY COUNTY
532496,CLAY COUNTY
786954,CLAY COUNTY
416348,CLAY COUNTY
506364,CLAY COUNTY
311994,CLAY COUNTY
807442,CLAY COUNTY
235695,CLAY COUNTY
481294,CLAY COUNTY
292670,CLAY COUNTY
127739,CLAY COUNTY
869056,CLAY COUNTY
514471,CLAY COUNTY
903764,CLAY COUNTY
192068,CLAY COUNTY
109815,CLAY COUNTY
495339,CLAY COUNTY
752123,CLAY COUNTY
412775,CLAY COUNTY
249958,CLAY COUNTY
754919,CLAY COUNTY
829637,CLAY COUNTY
931429,CLAY COUNTY
565451,CLAY COUNTY
722334,CLAY COUNTY
630898,CLAY COUNTY
166536,CLAY COUNTY
469135,CLAY COUNTY
678786,CLAY COUNTY
284473,CLAY COUNTY
499389,CLAY COUNTY
541241,CLAY COUNTY
797586,CLAY COUNTY
812823,CLAY COUNTY
598244,CLAY COUNTY
788363,CLAY COUNTY
737787,CLAY COUNTY
445518,CLAY COUNTY
758347,CLAY COUNTY
195133,CLAY COUNTY
991548,CLAY COUNTY
696936,CLAY COUNTY
393176,CLAY COUNTY
626647,CLAY COUNTY
915781,CLAY COUNTY
827852,CLAY COUNTY
800420,CLAY COUNTY
728346,CLAY COUNTY
928642,CLAY COUNTY
442061,CLAY COUNTY
810826,CLAY COUNTY
336798,CLAY COUNTY
830917,CLAY COUNTY
984232,CLAY COUNTY
203667,CLAY COUNTY
395084,CLAY COUNTY
869242,CLAY COUNTY
704537,CLAY COUNTY
692691,CLAY COUNTY
580758,CLAY COUNTY
515486,CLAY COUNTY
884079,CLAY COUNTY
491095,CLAY COUNTY
579764,CLAY COUNTY
263177,CLAY COUNTY
710739,CLAY COUNTY
156129,CLAY COUNTY
178800,BRADFORD COUNTY
406073,BRADFORD COUNTY
450089,BRADFORD COUNTY
894206,NASSAU COUNTY
472007,NASSAU COUNTY
500287,NASSAU COUNTY
365732,NASSAU COUNTY
365145,NASSAU COUNTY
237841,NASSAU COUNTY
497561,NASSAU COUNTY
245837,NASSAU COUNTY
732075,NASSAU COUNTY
657625,NASSAU COUNTY
790556,NASSAU COUNTY
207626,NASSAU COUNTY
902008,NASSAU COUNTY
135936,HAMILTON COUNTY
997759,HAMILTON COUNTY
470224,HAMILTON COUNTY
367761,HAMILTON COUNTY
285586,HAMILTON COUNTY
122164,HAMILTON COUNTY
152913,HAMILTON COUNTY
655156,HAMILTON COUNTY
989201,HAMILTON COUNTY
207985,HAMILTON COUNTY
732449,HAMILTON COUNTY
665653,HAMILTON COUNTY
939634,HAMILTON COUNTY
981796,HAMILTON COUNTY
269573,HAMILTON COUNTY
602123,HAMILTON COUNTY
336717,HAMILTON COUNTY
238449,HAMILTON COUNTY
530357,HAMILTON COUNTY
896911,HAMILTON COUNTY
391646,HAMILTON COUNTY
710345,HAMILTON COUNTY
944525,HAMILTON COUNTY
800878,HAMILTON COUNTY
866106,HAMILTON COUNTY
204794,HAMILTON COUNTY
849458,HAMILTON COUNTY
806471,HAMILTON COUNTY
464589,HAMILTON COUNTY
591943,UNION COUNTY
973133,UNION COUNTY
743965,UNION COUNTY
528185,UNION COUNTY
219113,UNION COUNTY
376803,UNION COUNTY
233559,COLUMBIA COUNTY
579117,COLUMBIA COUNTY
517674,COLUMBIA COUNTY
980808,COLUMBIA COUNTY
143584,COLUMBIA COUNTY
489643,COLUMBIA COUNTY
986109,COLUMBIA COUNTY
654640,COLUMBIA COUNTY
700895,COLUMBIA COUNTY
407962,COLUMBIA COUNTY
494610,COLUMBIA COUNTY
744305,COLUMBIA COUNTY
512991,COLUMBIA COUNTY
507789,COLUMBIA COUNTY
186262,COLUMBIA COUNTY
978388,COLUMBIA COUNTY
784347,COLUMBIA COUNTY
679408,COLUMBIA COUNTY
306619,COLUMBIA COUNTY
457004,COLUMBIA COUNTY
329255,COLUMBIA COUNTY
900892,COLUMBIA COUNTY
633241,COLUMBIA COUNTY
502372,COLUMBIA COUNTY
719075,COLUMBIA COUNTY
920786,COLUMBIA COUNTY
232605,COLUMBIA COUNTY
601984,COLUMBIA COUNTY
459878,COLUMBIA COUNTY
565530,COLUMBIA COUNTY
202651,COLUMBIA COUNTY
909104,COLUMBIA COUNTY
872719,COLUMBIA COUNTY
997611,COLUMBIA COUNTY
519606,COLUMBIA COUNTY
624248,COLUMBIA COUNTY
783767,COLUMBIA COUNTY
285479,COLUMBIA COUNTY
424793,COLUMBIA COUNTY
256213,COLUMBIA COUNTY
155199,COLUMBIA COUNTY
830871,COLUMBIA COUNTY
757768,COLUMBIA COUNTY
176583,COLUMBIA COUNTY
678864,COLUMBIA COUNTY
854000,COLUMBIA COUNTY
631978,COLUMBIA COUNTY
967058,COLUMBIA COUNTY
878374,COLUMBIA COUNTY
113053,COLUMBIA COUNTY
288738,COLUMBIA COUNTY
594369,COLUMBIA COUNTY
706890,COLUMBIA COUNTY
536032,COLUMBIA COUNTY
747825,COLUMBIA COUNTY
608124,COLUMBIA COUNTY
934739,COLUMBIA COUNTY
757078,COLUMBIA COUNTY
956518,COLUMBIA COUNTY
548584,COLUMBIA COUNTY
132904,COLUMBIA COUNTY
111857,COLUMBIA COUNTY
388383,COLUMBIA COUNTY
276410,BRADFORD COUNTY
546756,BRADFORD COUNTY
669229,MADISON COUNTY
766573,MADISON COUNTY
765578,MADISON COUNTY
166613,MADISON COUNTY
883261,MADISON COUNTY
842655,MADISON COUNTY
248167,SUWANNEE COUNTY
976562,SUWANNEE COUNTY
620457,SUWANNEE COUNTY
336697,SUWANNEE COUNTY
648295,SUWANNEE COUNTY
858080,SUWANNEE COUNTY
579910,SUWANNEE COUNTY
735184,SUWANNEE COUNTY
420445,SUWANNEE COUNTY
373504,SUWANNEE COUNTY
266080,SUWANNEE COUNTY
178535,SUWANNEE COUNTY
574531,BAKER COUNTY
606491,BAKER COUNTY
885991,BAKER COUNTY
908170,BAKER COUNTY
487022,BAKER COUNTY
723719,BAKER COUNTY
628922,BAKER COUNTY
232316,BAKER COUNTY
151933,BAKER COUNTY
225577,BAKER COUNTY
443296,BAKER COUNTY
747464,BAKER COUNTY
548566,BAKER COUNTY
510281,BAKER COUNTY
481334,BAKER COUNTY
621142,BAKER COUNTY
907206,BAKER COUNTY
963412,BAKER COUNTY
561805,BAKER COUNTY
177053,BAKER COUNTY
888564,BAKER COUNTY
399592,BAKER COUNTY
616030,BAKER COUNTY
671336,BAKER COUNTY
914194,BAKER COUNTY
632104,BAKER COUNTY
895447,BAKER COUNTY
969519,BAKER COUNTY
149119,BAKER COUNTY
804466,BAKER COUNTY
688199,BAKER COUNTY
977912,BAKER COUNTY
312530,BAKER COUNTY
154572,BAKER COUNTY
299157,BAKER COUNTY
358433,BAKER COUNTY
131991,BAKER COUNTY
844614,BAKER COUNTY
735501,BAKER COUNTY
703956,BAKER COUNTY
547680,BAKER COUNTY
562722,BAKER COUNTY
820860,BAKER COUNTY
894562,BAKER COUNTY
577091,BAKER COUNTY
755818,BAKER COUNTY
839723,BAKER COUNTY
118899,BAKER COUNTY
612231,BAKER COUNTY
163526,BAKER COUNTY
278995,BAKER COUNTY
875706,BAKER COUNTY
712263,BAKER COUNTY
241888,BAKER COUNTY
115934,BAKER COUNTY
214979,BAKER COUNTY
601369,BAKER COUNTY
859735,BAKER COUNTY
868972,BAKER COUNTY
369631,BAKER COUNTY
130797,SUWANNEE COUNTY
770857,SUWANNEE COUNTY
834275,SUWANNEE COUNTY
102432,SUWANNEE COUNTY
776440,SUWANNEE COUNTY
945568,SUWANNEE COUNTY
132404,SUWANNEE COUNTY
395018,SUWANNEE COUNTY
248575,SUWANNEE COUNTY
812631,SUWANNEE COUNTY
220621,SUWANNEE COUNTY
139061,SUWANNEE COUNTY
419108,SUWANNEE COUNTY
391574,SUWANNEE COUNTY
449147,SUWANNEE COUNTY
998635,SUWANNEE COUNTY
437290,SUWANNEE COUNTY
395835,SUWANNEE COUNTY
613321,SUWANNEE COUNTY
865150,SUWANNEE COUNTY
635664,SUWANNEE COUNTY
529300,SUWANNEE COUNTY
430318,SUWANNEE COUNTY
441395,SUWANNEE COUNTY
294015,SUWANNEE COUNTY
950097,SUWANNEE COUNTY
110324,SUWANNEE COUNTY
416938,SUWANNEE COUNTY
586755,SUWANNEE COUNTY
863494,SUWANNEE COUNTY
574538,SUWANNEE COUNTY
514370,SUWANNEE COUNTY
373414,SUWANNEE COUNTY
997019,SUWANNEE COUNTY
910144,SUWANNEE COUNTY
552357,SUWANNEE COUNTY
655342,SUWANNEE COUNTY
897773,SUWANNEE COUNTY
926390,SUWANNEE COUNTY
216408,SUWANNEE COUNTY
548404,SUWANNEE COUNTY
206428,SUWANNEE COUNTY
292458,SUWANNEE COUNTY
919465,SUWANNEE COUNTY
630483,SUWANNEE COUNTY
825224,SUWANNEE COUNTY
404295,SUWANNEE COUNTY
150387,SUWANNEE COUNTY
946844,SUWANNEE COUNTY
751897,SUWANNEE COUNTY
910845,SUWANNEE COUNTY
763316,SUWANNEE COUNTY
727002,SUWANNEE COUNTY
559336,SUWANNEE COUNTY
236251,SUWANNEE COUNTY
529747,SUWANNEE COUNTY
858323,SUWANNEE COUNTY
158617,SUWANNEE COUNTY
334713,SUWANNEE COUNTY
318842,SUWANNEE COUNTY
649501,SUWANNEE COUNTY
445540,SUWANNEE COUNTY
371999,SUWANNEE COUNTY
218472,SUWANNEE COUNTY
580250,SUWANNEE COUNTY
907556,SUWANNEE COUNTY
327269,SUWANNEE COUNTY
892361,SUWANNEE COUNTY
398442,SUWANNEE COUNTY
423598,SUWANNEE COUNTY
327184,SUWANNEE COUNTY
314582,SUWANNEE COUNTY
975779,SUWANNEE COUNTY
337568,SUWANNEE COUNTY
459597,SUWANNEE COUNTY
511988,SUWANNEE COUNTY
455917,SUWANNEE COUNTY
304879,SUWANNEE COUNTY
881425,SUWANNEE COUNTY
208817,SUWANNEE COUNTY
918862,SUWANNEE COUNTY
523984,SUWANNEE COUNTY
226520,SUWANNEE COUNTY
413066,SUWANNEE COUNTY
177491,SUWANNEE COUNTY
906786,SUWANNEE COUNTY
252960,SUWANNEE COUNTY
753041,SUWANNEE COUNTY
275656,SUWANNEE COUNTY
366151,SUWANNEE COUNTY
143520,SUWANNEE COUNTY
578715,SUWANNEE COUNTY
728171,SUWANNEE COUNTY
147189,SUWANNEE COUNTY
626834,SUWANNEE COUNTY
840720,SUWANNEE COUNTY
911131,SUWANNEE COUNTY
814705,SUWANNEE COUNTY
896748,SUWANNEE COUNTY
640263,SUWANNEE COUNTY
756661,SUWANNEE COUNTY
267816,SUWANNEE COUNTY
876992,SUWANNEE COUNTY
866801,SUWANNEE COUNTY
135106,SUWANNEE COUNTY
995558,SUWANNEE COUNTY
577604,SUWANNEE COUNTY
334208,SUWANNEE COUNTY
601206,SUWANNEE COUNTY
335613,SUWANNEE COUNTY
586214,SUWANNEE COUNTY
645424,SUWANNEE COUNTY
584595,SUWANNEE COUNTY
924430,SUWANNEE COUNTY
842675,CLAY COUNTY
379599,CLAY COUNTY
280286,CLAY COUNTY
147622,CLAY COUNTY
592104,CLAY COUNTY
936914,CLAY COUNTY
689421,CLAY COUNTY
162509,CLAY COUNTY
205789,CLAY COUNTY
559033,CLAY COUNTY
411708,CLAY COUNTY
945341,CLAY COUNTY
985128,CLAY COUNTY
859902,CLAY COUNTY
767859,CLAY COUNTY
235747,CLAY COUNTY
644183,CLAY COUNTY
956443,CLAY COUNTY
278796,CLAY COUNTY
608556,CLAY COUNTY
454763,CLAY COUNTY
908461,CLAY COUNTY
333252,CLAY COUNTY
332105,CLAY COUNTY
874411,CLAY COUNTY
700665,CLAY COUNTY
582288,CLAY COUNTY
903047,CLAY COUNTY
446936,CLAY COUNTY
758257,CLAY COUNTY
205579,CLAY COUNTY
542261,CLAY COUNTY
467776,CLAY COUNTY
547808,CLAY COUNTY
148603,CLAY COUNTY
620151,CLAY COUNTY
423148,CLAY COUNTY
285805,CLAY COUNTY
666963,CLAY COUNTY
218058,CLAY COUNTY
824968,CLAY COUNTY
583791,CLAY COUNTY
288895,CLAY COUNTY
622218,CLAY COUNTY
471679,CLAY COUNTY
330603,CLAY COUNTY
340377,CLAY COUNTY
325580,CLAY COUNTY
355939,CLAY COUNTY
537551,CLAY COUNTY
817217,CLAY COUNTY
307610,CLAY COUNTY
934843,CLAY COUNTY
479633,CLAY COUNTY
261810,CLAY COUNTY
251498,CLAY COUNTY
652676,CLAY COUNTY
430162,CLAY COUNTY
107565,CLAY COUNTY
137773,CLAY COUNTY
150881,CLAY COUNTY
818305,CLAY COUNTY
772993,CLAY COUNTY
335686,CLAY COUNTY
354163,CLAY COUNTY
131859,CLAY COUNTY
102237,CLAY COUNTY
496689,CLAY COUNTY
386266,CLAY COUNTY
189496,CLAY COUNTY
448454,CLAY COUNTY
152055,CLAY COUNTY
516954,CLAY COUNTY
346222,LAFAYETTE COUNTY
827364,LAFAYETTE COUNTY
865575,LAFAYETTE COUNTY
666784,LAFAYETTE COUNTY
908304,LAFAYETTE COUNTY
724035,LAFAYETTE COUNTY
616507,LAFAYETTE COUNTY
743467,LAFAYETTE COUNTY
542565,LAFAYETTE COUNTY
666420,LAFAYETTE COUNTY
716343,LAFAYETTE COUNTY
166243,LAFAYETTE COUNTY
869527,LAFAYETTE COUNTY
793316,LAFAYETTE COUNTY
525660,LAFAYETTE COUNTY
228542,LAFAYETTE COUNTY
345892,LAFAYETTE COUNTY
235832,LAFAYETTE COUNTY
710139,LAFAYETTE COUNTY
352426,LAFAYETTE COUNTY
384442,LAFAYETTE COUNTY
286876,LAFAYETTE COUNTY
300150,LAFAYETTE COUNTY
604759,LAFAYETTE COUNTY
374411,LAFAYETTE COUNTY
447691,LAFAYETTE COUNTY
735405,LAFAYETTE COUNTY
476328,LAFAYETTE COUNTY
188892,LAFAYETTE COUNTY
738918,LAFAYETTE COUNTY
320338,LAFAYETTE COUNTY
443947,LAFAYETTE COUNTY
167317,LAFAYETTE COUNTY
430437,LAFAYETTE COUNTY
873593,LAFAYETTE COUNTY
653808,LAFAYETTE COUNTY
122734,LAFAYETTE COUNTY
603486,LAFAYETTE COUNTY
855783,LAFAYETTE COUNTY
379870,LAFAYETTE COUNTY
536577,LAFAYETTE COUNTY
178873,LAFAYETTE COUNTY
300562,LAFAYETTE COUNTY
555619,LAFAYETTE COUNTY
758060,LAFAYETTE COUNTY
489526,LAFAYETTE COUNTY
861565,LAFAYETTE COUNTY
692765,LAFAYETTE COUNTY
428588,LAFAYETTE COUNTY
116583,LAFAYETTE COUNTY
779587,LAFAYETTE COUNTY
827888,LAFAYETTE COUNTY
983194,LAFAYETTE COUNTY
549068,LAFAYETTE COUNTY
116416,LAFAYETTE COUNTY
787983,LAFAYETTE COUNTY
473317,LAFAYETTE COUNTY
139920,LAFAYETTE COUNTY
464379,LAFAYETTE COUNTY
110577,LAFAYETTE COUNTY
964532,LAFAYETTE COUNTY
783365,LAFAYETTE COUNTY
243580,LAFAYETTE COUNTY
936931,LAFAYETTE COUNTY
464273,LAFAYETTE COUNTY
142893,LAFAYETTE COUNTY
583948,LAFAYETTE COUNTY
466262,LAFAYETTE COUNTY
868179,CLAY COUNTY
368509,CLAY COUNTY
825334,CLAY COUNTY
584286,CLAY COUNTY
426369,CLAY COUNTY
621175,CLAY COUNTY
740683,CLAY COUNTY
974438,CLAY COUNTY
443137,CLAY COUNTY
174313,CLAY COUNTY
515429,CLAY COUNTY
168714,CLAY COUNTY
967565,CLAY COUNTY
216270,CLAY COUNTY
650875,CLAY COUNTY
971511,CLAY COUNTY
413953,CLAY COUNTY
450658,CLAY COUNTY
228299,CLAY COUNTY
717202,CLAY COUNTY
772804,CLAY COUNTY
932466,CLAY COUNTY
533299,CLAY COUNTY
284003,CLAY COUNTY
205704,CLAY COUNTY
346837,CLAY COUNTY
371665,CLAY COUNTY
574882,CLAY COUNTY
110888,CLAY COUNTY
375055,BAKER COUNTY
482716,BAKER COUNTY
603519,BAKER COUNTY
268570,BAKER COUNTY
820558,CLAY COUNTY
498729,CLAY COUNTY
950716,CLAY COUNTY
128894,CLAY COUNTY
881492,CLAY COUNTY
321346,CLAY COUNTY
581291,CLAY COUNTY
370644,CLAY COUNTY
545031,CLAY COUNTY
201089,CLAY COUNTY
790967,CLAY COUNTY
558007,CLAY COUNTY
125552,CLAY COUNTY
527643,CLAY COUNTY
110872,CLAY COUNTY
893113,CLAY COUNTY
575211,CLAY COUNTY
665536,CLAY COUNTY
273487,CLAY COUNTY
280674,CLAY COUNTY
248341,CLAY COUNTY
113250,CLAY COUNTY
430658,CLAY COUNTY
449510,CLAY COUNTY
814098,CLAY COUNTY
491496,CLAY COUNTY
519546,CLAY COUNTY
399722,CLAY COUNTY
898714,CLAY COUNTY
284335,CLAY COUNTY
328660,CLAY COUNTY
939217,CLAY COUNTY
312341,CLAY COUNTY
851500,CLAY COUNTY
206063,CLAY COUNTY
911054,CLAY COUNTY
990316,CLAY COUNTY
998798,CLAY COUNTY
743895,CLAY COUNTY
183291,CLAY COUNTY
762494,CLAY COUNTY
614159,CLAY COUNTY
313157,CLAY COUNTY
549388,CLAY COUNTY
381206,CLAY COUNTY
903839,CLAY COUNTY
484007,CLAY COUNTY
758694,CLAY COUNTY
718473,CLAY COUNTY
310500,CLAY COUNTY
951965,CLAY COUNTY
686067,CLAY COUNTY
630246,CLAY COUNTY
960864,CLAY COUNTY
368093,CLAY COUNTY
596039,CLAY COUNTY
793688,CLAY COUNTY
655727,CLAY COUNTY
203305,CLAY COUNTY
625673,CLAY COUNTY
484687,CLAY COUNTY
745529,CLAY COUNTY
595624,CLAY COUNTY
901277,CLAY COUNTY
986412,CLAY COUNTY
555955,CLAY COUNTY
817829,CLAY COUNTY
447682,CLAY COUNTY
791246,CLAY COUNTY
828195,CLAY COUNTY
349231,CLAY COUNTY
327231,CLAY COUNTY
157885,CLAY COUNTY
480677,CLAY COUNTY
469669,CLAY COUNTY
162340,CLAY COUNTY
368883,CLAY COUNTY
823110,CLAY COUNTY
805930,CLAY COUNTY
615055,CLAY COUNTY
510571,CLAY COUNTY
599636,CLAY COUNTY
252174,CLAY COUNTY
801148,CLAY COUNTY
793447,CLAY COUNTY
787827,CLAY COUNTY
970645,CLAY COUNTY
829730,CLAY COUNTY
693967,CLAY COUNTY
780380,CLAY COUNTY
816959,CLAY COUNTY
575231,CLAY COUNTY
625865,CLAY COUNTY
132961,CLAY COUNTY
418645,CLAY COUNTY
451133,CLAY COUNTY
688245,CLAY COUNTY
516626,CLAY COUNTY
529970,ST  JOHNS COUNTY
884768,ST  JOHNS COUNTY
163481,ST  JOHNS COUNTY
758210,ST  JOHNS COUNTY
249945,ST  JOHNS COUNTY
805642,ST  JOHNS COUNTY
240151,ST  JOHNS COUNTY
144321,ST  JOHNS COUNTY
872373,ST  JOHNS COUNTY
775283,ST  JOHNS COUNTY
138616,ST  JOHNS COUNTY
397202,ST  JOHNS COUNTY
758276,ST  JOHNS COUNTY
217068,ST  JOHNS COUNTY
627387,ST  JOHNS COUNTY
611518,ST  JOHNS COUNTY
474581,ST  JOHNS COUNTY
581062,ST  JOHNS COUNTY
242620,ST  JOHNS COUNTY
599189,ST  JOHNS COUNTY
240859,ST  JOHNS COUNTY
392938,ST  JOHNS COUNTY
868280,ST  JOHNS COUNTY
640979,ST  JOHNS COUNTY
924750,ST  JOHNS COUNTY
753749,FLAGLER COUNTY
218910,ST  JOHNS COUNTY
716300,ST  JOHNS COUNTY
592140,ST  JOHNS COUNTY
