Type,Name,Origin,Korean
text_jp,,大ダメージだぜぇ！属性の相性で<br>こうも違いがでるなんてなぁ！,큰 데미지라구!속성의 궁합에서<br>이렇게나 차이가 나다니!
text_jp,,ちなみに、逆に【<span class='attribute3'>土属性</span>】の敵が<br> 【<span class='attribute4'>風属性</span>】のオマエを攻撃すると、<br> ダメージは軽減されるんだぜぇ！,"참고로 반대로 [<span class='attribute3'>흙 속성</span>]의 적이<br> [<span class='attribute4'>풍 속성</span>]의 너를 공격하면,<br> 데미지는 경감되는 거야!"
text_jp,,狙い撃ちする敵は、もう一度タッチ<br> すると解除されるぜ。でも、ここは<br> このままヤっちまえー！！,"저격하던 적은 한 번 더 터치<br>하면 해제될 거야.하지만, 여기선<br> 이대로 끝내버리자!!"
text_jp,,よっしゃぁー！<br> さっすがじゃねぇーか！<br> この調子であの槍野郎も倒すぞぉ！,아자!<br>역시나잖아! 이 상태로 저 창녀석도 쓰러뜨릴거야!
text_jp,,…なぁ、気づいたか？<br>敵のHPゲージの下にあるアレによぉ。,"...야, 눈치 챘나?<br>적의 HP게이지 밑에 있는 저거 말야."
text_jp,,アレが全部赤く光ると、<br> 敵が技を使ってくるぜぇ！<br>注意しろよぉ！,"저것이 전부 빨갛게 빛나면,<br>적이 기술을 사용해 온다구!<br>주의해!"
text_jp,,お？奥義ゲージが溜まったな？<br>次に攻撃する時に【奥義】を<br>発動できるぜぇ！,어? 오의게이지가 쌓였네?<br>다음에 공격할 때 [오의]를<br>발동할 수 있어!
text_jp,,奥義ゲージは自分が攻撃したり、<br>ダメージを受けると溜まるから<br>憶えとけよぉ。,"오의 게이지는 자신이 공격하거나,<br>피해를 입으면 쌓이니까<br>기억해둬."
text_jp,,いけぇ！オマエの奥義で槍野郎に<br>トドメをさしてやれぇー！！,가자! 오마에의 오의로 창녀석에게<br>마무리를 꽂아줘!!
text_jp,,やったぜぇー！武装した兵士を<br>一度に二人も倒すなんて、<br>やるじゃねぇかよぉ！！,"해냈어! 무장한 병사를 한 번에 두 명이나 쓰러뜨리다니, <br> 제법이잖아?"

test_en,,Pain is the least of your worries!,혼내 주겠다!<br>각오해라!
test_en,,All right! Nothing to it but to do it! With your sword skills you can win this!,빌어먹을! 할 수 밖에 없는 것 같아!<br> 너의 검술이라면 이길 수 있어!
test_en,,Tap Attack to take care of these goons!,【공격】버튼을 눌러서 <br> 병문안을 하러가자!!
test_en,,It's working! Keep it up!,효과가 있다구! 이대로 가자구!
test_en,,"After you attack, it's the enemy's turn. Watch out!","너의 공격이 끝나면,<br>다음은 적의 공격이다! 조심해!"
test_en,,"After the enemy's turn, you're up. Now strike back!","적의 공격이 끝나면 다시 자기 차례다. 잘 기억해 둬!<br>자, 반격이다!"
test_en,,"Hey, you know about elements, right? They're the key to winning battles!","맞아, 속성이라는 건 알지? 싸움에서 이겨내려면 필수적인 지식이야!"
test_en,,Right now you've equipped a wind weapon. That means...,지금 너는 [<span class='attribute4'>바람속성</span>]의 무기를<br>장비하고 있구나
test_en,,You can deal serious damage to earth enemies!,너의 공격은 [<span class='attribute3'>흙속성</span>]의 적에게<br>초! 유리해!
test_en,,That soldier with the sword is earth! Try tapping him!,저 검을 든 병사!<br> 그녀석은 [<span class='attribute3'>흙속성</span>]이다!<br> 그 녀석을 터치해봐!
test_en,,"Good, now he's your target! Let's attack!","좋아!<br>이것으로 그 녀석을 저격할 수 있어!<br>자, [공격]이다!"
test_en,,Now that's some serious damage! It helps to use the right element at the right time.,큰 데미지라구!속성의 궁합에서<br>이렇게나 차이가 나다니!
test_en,,"Since he's earth and you're wind, he can't damage you much.","참고로 반대로 [<span class='attribute3'>흙 속성</span>]의 적이<br> [<span class='attribute4'>풍 속성</span>]의 너를 공격하면,<br> 데미지는 경감되는 거야!"
test_en,,You can tap an enemy again to quit targeting it. But let's not change anything now.,"저격하던 적은 한 번 더 터치<br>하면 해제될 거야.하지만, 여기선<br> 이대로 끝내버리자!!"
test_en,,All right! That's the spirit! Now let's take down this spear guy!,아자!<br>역시나잖아! 이 상태로 저 창녀석도 쓰러뜨릴거야!
test_en,,"Hey, did you see those things under the enemy's HP gauge?","...야, 눈치 챘나?<br>적의 HP게이지 밑에 있는 저거 말야."
test_en,,"When all of those are flashing red, the enemy will make a charge attack! Be careful!","저것이 전부 빨갛게 빛나면,<br>적이 기술을 사용해 온다구!<br>주의해!"
test_en,,"Hey, your charge bar is full. Next make a charge attack!",어? 오의게이지가 쌓였네?<br>다음에 공격할 때 [오의]를<br>발동할 수 있어!
test_en,,"Remember, your charge bar fills up whenever you attack or receive damage.","오의 게이지는 자신이 공격하거나,<br>피해를 입으면 쌓이니까<br>기억해둬."
test_en,,Let's go! Squash this guy with your charge attack!,가자! 오마에의 오의로 창녀석에게<br>마무리를 꽂아줘!!
test_en,,Alright! You took down those two guys with one hit!,"해냈어! 무장한 병사를 한 번에 두 명이나 쓰러뜨리다니, <br> 제법이잖아?"
